,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Gingelly', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Gram', 'Split')",43,120,,,62,365,9,49,47,441,,7,,,,,99,,265,245,3,11,212,,,337,15,10,29,,,238,30,2,112,116,173,14,83,,446,348,,5,8,117,339,,19,227,10,5,127,,200,14,,48,12,340,4,,64,64,,2,23,341,20,,8,2,12,109,340,205,55,,,,4,,,348,,229,206,,,8,3,,390,16,352,,450,3,360,95,76,240,49,331,259,,323,348,,143,409,,363,53,54,38,120,,22
"('Gram', 'Whole')",43,120,,,59,365,9,49,47,352,,49,,,,,99,,265,245,3,11,212,,,337,143,31,28,,,238,30,3,112,92,173,14,83,,447,348,369,5,238,117,339,359,19,227,10,17,127,,186,14,,48,12,,4,,64,64,,3,23,,76,,8,3,12,109,,205,55,,367,,55,,369,348,472,229,154,,,59,3,371,390,16,352,,450,3,360,95,92,240,238,331,259,,143,348,,143,324,,304,60,54,38,120,,22
"('Groundnut', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Gur', 'Local')",43,120,,,62,365,14,49,47,352,,37,,,,,99,,265,245,15,11,212,,,337,18,18,18,340,,71,30,18,112,92,173,14,116,,449,348,369,8,18,117,339,,19,227,119,17,127,,186,21,,50,12,340,8,,64,64,,8,23,,89,,15,8,12,25,359,212,60,,,,16,,369,348,,229,322,,,8,8,371,390,16,352,,450,8,360,95,18,240,8,331,259,,151,348,,143,324,,304,60,54,38,120,359,22
"('Jowar', 'White')",,64,,,468,,241,49,,352,,10,,,,,99,,265,245,3,158,212,,,337,10,8,38,,,244,30,6,468,,,405,83,369,449,,,245,8,429,,,19,460,10,5,432,,,10,,,240,340,4,,64,64,,469,224,341,32,,8,55,12,22,,,400,,,,1,,,,,229,206,,,8,145,,470,87,352,,450,468,360,417,71,240,125,429,,,,348,,204,324,359,151,168,54,38,120,361,52
"('Maida', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Maize', 'FAQ')",472,260,,,193,365,26,49,118,459,,62,,,,,99,,265,245,8,51,212,,,337,10,468,35,,,238,30,6,278,,186,240,83,,452,348,369,9,263,255,339,,19,460,29,20,127,,216,17,,352,12,,8,,64,64,,241,36,,8,,240,8,12,22,340,,400,,,,33,,,348,470,229,322,,,8,8,,470,16,352,,450,8,367,247,180,240,125,468,,,,348,,143,324,359,304,51,54,38,120,,24
"('Masur', 'Split')",43,120,,,59,,9,49,47,352,,40,,,,,99,,265,245,4,11,212,,,337,201,466,140,,,238,30,4,112,92,173,14,84,,447,348,,5,238,117,339,,19,227,10,5,127,,186,77,,48,12,,4,,64,64,,238,23,,89,,27,2,12,93,,205,55,,367,,4,,,348,472,229,322,,,8,3,371,390,16,352,,450,7,360,95,240,240,4,331,259,,323,348,,143,324,,304,27,244,38,120,,22
"('Meat', 'Mutton')",43,120,,,57,,9,49,47,352,,173,,,,,99,,265,245,8,11,212,,,337,19,8,29,,,238,30,2,112,116,173,13,86,,446,348,,5,265,117,339,,19,227,442,14,127,,186,83,,48,12,,4,,64,64,,2,23,341,76,,8,2,12,22,,205,60,,,,16,,,348,,229,322,,,8,3,,390,16,352,,450,3,360,95,15,240,2,331,259,,143,348,,143,324,,304,2,54,38,120,,22
"('Milk', 'Cow/Buffalo')",43,120,,,59,365,9,49,47,352,,108,,,,,99,,265,245,8,11,212,,,337,10,10,38,,,238,30,18,112,116,173,13,116,,446,348,,5,265,117,339,,19,227,442,14,127,,186,17,,48,12,,4,,64,64,,2,23,,89,,8,2,18,22,,220,60,,,,18,372,,348,,229,322,,,47,3,,390,16,352,,450,3,360,95,20,240,18,331,259,,323,348,,143,324,,304,45,54,38,120,,22
"('Milk', 'Dairy')",43,120,,,59,,9,49,47,,,252,,,,,99,,265,245,8,11,212,,,337,27,29,38,,,238,30,241,162,116,173,13,116,,446,348,,5,244,117,339,,20,227,244,14,127,,186,35,,48,12,,18,,64,64,,2,23,,89,,18,2,215,22,,225,60,,,,246,,,348,,250,322,,,8,3,,390,16,352,,450,18,360,95,91,240,238,331,259,,323,348,,143,324,,304,60,54,38,120,,22
"('Moong', 'Split')",43,120,,,59,,9,49,47,352,,37,,,,,99,,265,245,3,11,212,,,337,10,8,38,,,238,30,1,112,92,173,14,83,,446,348,,5,8,117,339,,19,227,10,5,127,,186,14,,48,12,340,4,,64,64,,5,23,,20,,8,2,12,22,,205,55,,,,1,,,348,,229,322,,,8,3,371,390,16,352,,450,3,360,95,15,240,2,331,259,,143,348,,143,324,,304,53,54,38,120,,22
"('Mustard', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Onion', 'FAQ')",43,120,,,59,365,9,49,47,352,,37,,,,,99,,265,245,3,11,212,,,337,10,8,39,,,238,30,5,112,92,173,14,83,,446,348,,5,8,117,339,,19,228,10,5,127,,186,14,,50,12,,4,,64,64,,7,23,,76,,8,3,12,22,359,205,60,,367,,3,,,348,441,229,322,,,8,3,371,390,16,352,,450,3,360,95,15,240,3,331,259,,143,348,,143,324,,304,5,54,38,120,,22
"('Potato', 'FAQ')",43,120,,,59,377,9,49,47,352,,10,359,,,,99,,265,245,3,11,212,,346,337,10,8,38,340,,238,30,3,112,92,173,14,83,,447,348,,5,8,117,339,,19,227,10,3,127,375,186,14,,48,12,,4,,64,64,,3,23,,63,,8,3,12,22,359,205,60,,367,360,3,,,348,,229,322,,,8,3,371,390,16,352,,450,3,360,95,15,240,3,331,259,,143,348,,143,324,,304,3,54,38,120,,22
"('Ragi', 'FAQ')",244,210,,,240,,241,132,244,,,130,,,,,225,360,265,246,240,81,240,,,337,10,8,11,,,238,244,204,240,244,244,14,240,,446,,,240,261,366,,,202,244,41,5,244,,267,166,,267,240,,157,,189,64,,1,330,,244,,8,240,98,22,,,244,,,,240,,,,,244,322,,,8,240,,390,16,352,,,148,,244,24,468,240,468,,,414,469,,204,324,,304,66,54,244,151,359,21
"('Red', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Rice', 'Common/Coarse')",43,70,,,59,,9,49,47,352,,12,,361,,,99,,167,245,3,11,212,,346,337,10,8,29,340,,64,30,1,112,92,173,14,83,,446,348,,5,8,117,339,,19,227,10,5,411,358,186,14,,48,12,,4,,64,64,,1,23,341,36,371,8,0,12,22,,205,60,359,,,1,,,348,,229,64,,,8,3,,390,16,352,358,450,3,360,95,15,240,2,331,259,,143,348,343,143,324,,304,1,54,38,120,,22
"('Rice', 'Fine')",43,70,,,59,,9,141,47,352,375,256,,361,,376,99,,265,245,8,11,212,,,337,122,8,29,,,238,30,203,112,92,173,14,86,,446,348,,5,8,117,339,,19,227,10,14,127,,186,14,,48,12,,4,,64,64,,1,23,341,89,371,291,0,12,185,,205,60,,,360,1,,369,348,,229,322,,,8,3,,390,16,352,358,450,3,360,95,15,240,2,331,259,,323,348,,143,324,,151,134,54,38,120,,22
"('Rice', 'Superfine')",43,120,378,472,59,365,10,250,47,352,,277,472,375,342,,203,472,265,245,8,11,212,472,346,337,101,8,38,472,339,238,30,203,112,92,173,455,116,472,446,348,369,5,261,117,339,,242,227,10,20,127,358,186,25,,48,12,340,4,,67,89,342,206,23,341,171,,34,193,12,177,363,205,60,,472,,1,,472,348,,229,325,339,343,17,3,371,390,16,352,,450,3,360,95,15,240,385,331,259,,323,348,343,143,324,472,304,134,54,38,120,359,22
"('Salt', 'Loose(common)')",43,120,,,66,,15,49,54,441,,248,,,,,99,,265,245,8,11,212,,,337,27,8,38,,,238,30,238,112,116,173,24,87,,446,348,,5,8,117,339,,19,227,120,14,130,,186,83,,48,240,,18,,64,64,,132,23,,89,,8,3,12,30,,205,244,,,,169,,,348,,244,322,,,8,3,,390,45,352,,450,61,360,95,18,240,48,468,259,,160,348,,143,324,,304,64,54,38,120,,22
"('Salt', 'Packet(iodized)')",43,120,,,66,,9,49,47,352,,248,,,,,99,,265,245,8,11,212,,,377,63,9,38,,,238,30,31,123,116,173,13,87,,446,348,,5,8,117,339,,19,227,120,14,127,,186,83,,48,12,,4,,64,64,,3,23,,89,,8,3,12,30,,205,60,,,,16,,,348,,229,322,,,8,3,,390,16,352,,450,3,360,95,48,240,24,331,259,,323,348,,143,324,,304,61,54,38,120,,22
"('Sugar', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Suji', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Tea', 'Brooke Bond Red Label')",43,120,,,113,,14,49,126,,,253,,,,,99,,265,245,8,11,212,,,337,38,8,38,,,238,30,203,148,116,173,14,116,,449,348,,8,259,117,339,,19,228,114,14,239,,186,83,,247,17,,83,,64,64,,10,34,,99,,8,8,12,25,,205,60,,,,81,,,348,465,229,322,,,8,8,,390,16,352,,,203,360,95,16,240,226,331,259,,323,467,,143,402,,364,60,54,38,120,,22
"('Tea', 'Ctc(loose)')",55,120,,,113,,14,49,47,352,,321,,,,,101,,427,333,52,11,212,,,337,160,196,118,,,238,30,203,112,116,173,14,116,,452,348,,8,259,117,339,,19,233,114,18,127,,186,83,,48,26,,18,,64,64,,8,23,,89,,11,8,12,142,,210,230,,,,19,,,348,,229,322,,,8,8,,390,121,352,,450,32,360,95,137,240,53,332,259,,323,348,,143,,,418,61,54,38,120,,22
"('Tomato', 'FAQ')",43,120,,,59,365,9,49,111,352,,18,,,,,99,,265,245,8,11,212,,360,337,10,8,38,,,238,30,5,112,92,173,14,83,,447,348,,5,8,117,339,,19,227,15,7,127,,186,18,,48,12,,5,,64,64,,3,23,,20,,8,3,12,22,,205,60,,,,5,,,348,,229,322,,,8,3,,390,16,352,,450,5,360,95,15,240,5,331,259,,323,348,,143,324,,304,8,54,38,120,,22
"('Turmeric', 'Powdered Agmark')",43,120,,,59,,9,74,47,352,,250,,,,,99,,265,245,8,11,212,,,337,27,8,38,,,238,30,19,112,116,173,13,116,,446,348,,5,13,117,339,,110,227,120,14,127,,186,83,,48,12,,4,,64,64,,3,23,,89,,8,3,12,22,,205,63,,,,31,,,348,,229,322,,,8,3,,390,16,352,,450,3,360,95,15,240,17,331,259,,323,348,,143,324,,304,60,54,38,120,,22
"('Urad', 'Split')",43,120,,,62,,9,49,47,352,,37,,,,,99,,265,245,3,11,212,,,337,99,8,35,,,238,30,2,112,131,173,14,83,,447,348,,5,8,117,339,,19,227,10,5,129,,186,14,,48,12,340,4,,64,64,,2,24,,20,,8,2,12,22,,205,55,,,,3,,,348,,229,216,,,8,3,371,390,16,352,,450,3,360,95,15,240,49,331,259,,143,348,,143,324,,304,2,54,38,120,,22
"('Vanaspati', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Wheat', 'Desi')",,139,360,,468,365,162,124,468,352,,191,359,,,376,244,472,265,245,24,27,212,,,,165,8,186,340,,241,30,97,112,,189,323,83,,449,348,369,5,240,255,339,359,244,,157,98,,375,,83,378,,300,340,4,343,127,264,,8,326,341,107,,133,129,150,61,340,,,,367,,1,,369,432,472,229,216,,,8,8,371,469,254,352,,450,215,360,383,136,240,240,331,,,,348,,391,324,359,204,130,198,38,120,,98
"('Wheat', 'Kalyan HYV')",,70,,,468,,14,49,111,352,,10,,,,,99,,265,245,8,11,212,,,450,32,16,29,,,238,30,2,112,,186,14,83,,446,348,,8,9,255,339,,19,286,18,46,277,,,14,,352,12,,8,,64,64,,8,436,,36,,43,1,12,25,,205,400,,,,8,,,348,,229,153,,,8,8,,390,448,352,,450,3,360,95,15,240,191,331,,,274,348,,143,402,,304,33,54,38,120,,91
