('Arhar', 'Split', 'Bhopal') :  (0.06, 10)
('Arhar', 'Split', 'Bhubneshwar') :  (0.05, 11)
('Arhar', 'Split', 'Bijapur') :  (0.94, 212)
('Arhar', 'Split', 'Chandigarh') :  (0.85, 337)
('Arhar', 'Split', 'Chennai') :  (0.1, 10)
('Arhar', 'Split', 'Chittoor') :  (0.07, 10)
('Arhar', 'Split', 'Coimbatore') :  (0.12, 17)
('Arhar', 'Split', 'Cuttack') :  (0.59, 238)
('Arhar', 'Split', 'Dausa') :  (0.1, 30)
('Arhar', 'Split', 'Delhi') :  (0.03, 11)
('Arhar', 'Split', 'Dhanbad') :  (0.27, 112)
('Arhar', 'Split', 'Dibrugarh') :  (0.45, 126)
('Arhar', 'Split', 'Dispur') :  (0.71, 173)
('Arhar', 'Split', 'Ernakulam') :  (0.09, 14)
('Arhar', 'Split', 'Gandhi Nagar') :  (0.21, 83)
('Arhar', 'Split', 'Gangtok') :  (0.97, 456)
('Arhar', 'Split', 'Gaya') :  (0.98, 348)
('Arhar', 'Split', 'Gorakhpur') :  (0.08, 10)
('Arhar', 'Split', 'Guntur') :  (0.07, 17)
('Arhar', 'Split', 'Guwahati') :  (0.57, 117)
('Arhar', 'Split', 'Hajipur') :  (0.95, 339)
('Arhar', 'Split', 'Hissar') :  (0.16, 19)
('Arhar', 'Split', 'Howrah') :  (0.71, 227)
('Arhar', 'Split', 'Hubli') :  (0.32, 41)
('Arhar', 'Split', 'Hyderabad') :  (0.04, 10)
('Arhar', 'Split', 'Imphal') :  (0.42, 137)
('Arhar', 'Split', 'Itanagar') :  (0.46, 186)
('Arhar', 'Split', 'Jaipur') :  (0.11, 14)
('Arhar', 'Split', 'Jalpaiguri') :  (0.53, 48)
('Arhar', 'Split', 'Jammu') :  (0.14, 12)
('Arhar', 'Split', 'Jodhpur') :  (0.08, 10)
('Arhar', 'Split', 'Kanpur') :  (0.42, 64)
('Arhar', 'Split', 'Karnal') :  (0.21, 64)
('Arhar', 'Split', 'Khozhikode') :  (0.04, 10)
('Arhar', 'Split', 'Kohima') :  (0.32, 23)
('Arhar', 'Split', 'Kolhapur') :  (0.99, 341)
('Arhar', 'Split', 'Kolkata') :  (0.18, 10)
('Arhar', 'Split', 'Kurnool') :  (0.09, 11)
('Arhar', 'Split', 'Lucknow') :  (0.05, 10)
('Arhar', 'Split', 'Ludhiana') :  (0.1, 12)
('Arhar', 'Split', 'Madurai') :  (0.42, 22)
('Arhar', 'Split', 'Malda') :  (0.62, 205)
('Arhar', 'Split', 'Mandi') :  (0.32, 55)
('Arhar', 'Split', 'Mumbai') :  (0.03, 10)
('Arhar', 'Split', 'Muzaffarpur') :  (0.98, 348)
('Arhar', 'Split', 'Nagpur') :  (0.7, 239)
('Arhar', 'Split', 'Nasik') :  (0.45, 102)
('Arhar', 'Split', 'Panaji') :  (0.1, 10)
('Arhar', 'Split', 'Patna') :  (0.05, 10)
('Arhar', 'Split', 'Philibhit') :  (0.98, 381)
('Arhar', 'Split', 'Pondicherry') :  (0.84, 400)
('Arhar', 'Split', 'Portblair') :  (0.1, 16)
('Arhar', 'Split', 'Pune') :  (0.97, 352)
('Arhar', 'Split', 'Rajkot') :  (0.96, 460)
('Arhar', 'Split', 'Ranchi') :  (0.04, 10)
('Arhar', 'Split', 'Rewa') :  (0.77, 370)
('Arhar', 'Split', 'Saharanpur') :  (0.42, 95)
('Arhar', 'Split', 'Salem') :  (0.18, 15)
('Arhar', 'Split', 'Sehore') :  (0.6, 240)
('Arhar', 'Split', 'Shillong') :  (0.03, 10)
('Arhar', 'Split', 'Shimla') :  (0.76, 331)
('Arhar', 'Split', 'Shrinagar') :  (0.83, 259)
('Arhar', 'Split', 'Srinagar') :  (0.83, 143)
('Arhar', 'Split', 'Surat') :  (0.77, 348)
('Arhar', 'Split', 'Swaimadhopur') :  (0.41, 143)
('Arhar', 'Split', 'Tambram') :  (0.97, 324)
('Arhar', 'Split', 'Tirunelveli') :  (0.67, 304)
('Arhar', 'Split', 'Trivandrum') :  (0.03, 10)
('Arhar', 'Split', 'Tumkur') :  (0.33, 54)
('Arhar', 'Split', 'Udaipur') :  (0.27, 38)
('Arhar', 'Split', 'Vadodra') :  (0.63, 142)
('Arhar', 'Split', 'Vishakhapatnam') :  (0.09, 22)
('Atta', 'FAQ', 'Agartala') :  (0.22, 43)
('Atta', 'FAQ', 'Agra') :  (0.47, 120)
('Atta', 'FAQ', 'Aizwal') :  (0.17, 59)
('Atta', 'FAQ', 'Allahabad') :  (0.19, 10)
('Atta', 'FAQ', 'Amritsar') :  (0.24, 49)
('Atta', 'FAQ', 'Asansol') :  (0.53, 125)
