,Average,ValidCityCounts,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Fish', 'Rohu 1Kg Size')",0.525375,80,0.21,0.45,,,0.19,,0.18,0.27,0.32,0.85,,0.8,,,,,0.36,,0.87,0.79,0.07,0.05,0.48,,,0.88,0.71,0.16,0.41,,,0.59,0.1,0.08,0.26,0.45,0.71,0.59,0.98,,0.97,0.98,,0.19,0.6,0.56,0.97,,0.15,0.7,0.99,0.15,0.41,,0.44,0.34,,0.53,0.12,,0.97,,0.49,0.19,,0.54,0.31,,0.22,,0.07,0.13,0.33,0.69,,0.6,0.58,,,,0.47,,,0.98,,0.73,0.63,,,0.91,0.04,,0.92,0.27,0.97,,0.96,0.04,0.76,0.48,0.17,0.74,0.01,0.75,0.96,,0.83,0.76,,0.56,0.97,,,0.6,0.44,0.36,0.84,,0.85
"('Bread', 'Local')",0.526419753,81,0.39,0.56,,,0.28,,0.33,0.37,0.4,0.85,,0.61,,,,,0.46,,0.88,0.77,0.23,0.22,0.5,,,0.86,0.31,0.2,0.28,,,0.59,0.26,0.48,0.37,0.6,0.79,0.25,0.37,,0.98,0.98,,0.24,0.74,0.66,0.95,,0.31,0.72,,0.28,0.56,,0.51,0.41,,0.6,0.31,,0.22,,0.52,0.33,,0.19,0.44,,0.43,,0.23,0.18,0.26,0.5,,0.64,0.49,,,,0.24,,,0.98,0.99,0.82,0.75,,,0.22,0.21,,0.84,0.25,0.97,,0.96,0.47,0.76,0.5,0.36,0.6,0.29,0.75,0.82,,0.95,0.77,,0.49,0.97,,0.82,0.32,0.44,0.38,0.58,,0.25
"('Bajra', 'FAQ')",0.559210526,76,,0.39,,,0.95,0.97,0.18,0.25,0.99,0.79,,0.32,,,,,0.34,0.99,,0.77,0.03,0.67,0.47,,,0.87,0.06,0.05,0.12,,,0.99,0.08,0,0.99,,0.99,0.86,0.19,,0.99,,,0.93,0.59,0.95,,,0.28,,0.17,0.04,0.89,,,0.13,,,0.12,0.97,0.05,,0.52,0.18,,0.99,0.95,,0.39,,0.09,0.37,0.07,0.41,,,0.99,,,,0.01,,,,1,0.69,0.65,,,0.08,0.63,,0.84,0.09,0.97,,0.96,0.94,0.93,0.67,0.19,0.6,0.42,0.99,,0.99,,0.77,,0.4,0.97,1,0.33,0.69,0.44,0.26,0.55,0.99,0.07
"('Maize', 'FAQ')",0.565609756,82,1,0.79,,,0.58,0.98,0.23,0.23,0.61,0.97,,0.34,,,,,0.35,,0.89,0.77,0.07,0.15,0.47,,,0.86,0.09,0.99,0.12,,,0.71,0.12,0.04,0.9,,0.79,0.87,0.2,,0.98,0.98,0.99,0.09,0.7,0.94,0.95,,0.16,0.99,0.2,0.08,0.44,,0.5,0.19,,0.98,0.14,,0.09,,0.48,0.18,,0.96,0.36,,0.29,,0.96,0.04,0.11,0.41,0.96,,0.99,,,,0.43,,,0.98,0.99,0.73,0.81,,,0.09,0.06,,0.99,0.12,0.98,,0.96,0.07,0.94,0.68,0.93,0.6,0.39,0.99,,,,0.77,,0.41,0.99,0.99,0.71,0.24,0.32,0.27,0.55,,0.13
"('Jowar', 'White')",0.576081081,74,,0.54,,,0.99,,0.91,0.23,,0.79,,0.15,,,,,0.34,,0.89,0.77,0.03,0.86,0.47,,,0.86,0.08,0.05,0.12,,,0.98,0.08,0.17,0.99,,,0.86,0.19,0.99,0.99,,,0.65,0.05,0.94,,,0.13,0.99,0.08,0.04,0.97,,,0.13,,,0.96,0.97,0.05,,0.52,0.24,,0.99,0.75,0.99,0.22,,0.07,0.38,0.07,0.39,,,0.99,,,,0,,,,,0.68,0.64,,,0.08,0.88,,0.99,0.41,0.97,,0.96,0.99,0.93,0.97,0.32,0.6,0.52,0.99,,,,0.77,,0.7,0.97,0.99,0.36,0.73,0.34,0.26,0.49,0.99,0.2
"('Rice', 'Superfine')",0.60588785,107,0.2,0.51,0.98,1,0.34,0.98,0.19,0.63,0.29,0.79,,0.6,1,0.99,0.98,,0.5,1,0.89,0.77,0.05,0.02,0.46,1,0.99,0.86,0.29,0.05,0.13,1,0.99,0.59,0.08,0.43,0.25,0.43,0.71,0.96,0.25,1,0.97,0.98,0.99,0.05,0.58,0.55,0.94,,0.6,0.7,0.08,0.18,0.49,0.98,0.55,0.19,,0.52,0.14,0.97,0.05,,0.52,0.37,0.98,0.57,0.3,0.99,0.72,,0.15,0.95,0.08,0.65,0.97,0.6,0.3,,1,,0,,1,0.98,,0.68,0.75,0.98,0.99,0.13,0.02,0.98,0.84,0.08,0.97,,0.96,0.01,0.76,0.42,0.16,0.6,0.85,0.75,0.85,,0.94,0.76,0.99,0.4,0.97,1,0.66,0.33,0.3,0.26,0.55,0.99,0.08
"('Ragi', 'FAQ')",0.730533333,75,0.96,0.99,,,0.95,,0.97,0.91,0.96,,,0.32,,,,,0.98,0.99,0.9,0.79,0.95,0.19,0.99,,,0.87,0.11,0.05,0.09,,,0.72,0.95,0.82,0.98,0.98,0.99,0.08,0.96,,0.98,,,0.93,0.58,0.96,,,0.83,0.99,0.17,0.04,0.94,,0.99,0.96,,0.99,0.95,,0.94,,0.82,0.19,,0,0.96,,0.95,,0.07,0.94,0.52,0.4,,,0.95,,,,0.94,,,,,0.82,0.75,,,0.08,0.94,,0.84,0.09,0.97,,,0.8,,0.99,0.2,0.99,0.94,0.99,,,0.99,0.99,,0.98,0.97,,0.66,0.14,0.31,0.98,0.86,0.99,0.08
"('Wheat', 'Desi')",0.750561798,89,,0.84,0.99,,0.99,0.97,0.52,0.88,0.99,0.79,,0.95,0.98,,,0.99,0.99,1,0.88,0.77,0.1,0.19,0.69,,,,0.89,0.05,0.97,0.98,,0.59,0.08,0.39,0.34,,0.8,0.95,0.23,,0.97,0.98,0.99,0.06,0.95,0.92,0.94,0.99,0.93,,0.81,0.42,,0.99,,0.34,0.99,,0.95,0.97,0.05,0.99,0.69,0.98,,0.04,0.95,0.99,0.94,,0.87,0.84,0.94,0.58,0.97,,,,0.98,,0,,0.99,0.99,1,0.68,0.74,,,0.09,0.06,0.98,0.99,0.78,0.97,,0.96,0.46,0.79,0.91,0.94,0.6,0.98,0.75,,,,0.79,,0.98,0.99,0.99,0.68,0.84,0.55,0.26,0.58,,0.69
"('Fish', 'Cat Fish')",0.75875,72,0.26,0.82,,,0.79,,0.85,0.84,0.91,,,0.76,,,,,0.89,,,0.99,0.83,0.81,0.97,,,0.96,0.29,0.05,0.86,,,0.98,0.48,0.84,0.88,0.86,0.93,0.79,0.88,,0.97,,,0.82,0.87,0.86,,,0.83,0.73,0.98,0.38,0.86,,0.84,0.87,,0.93,0.82,,0.86,,0.88,0.87,,0.03,0.81,,0.79,,0.6,0.81,0.82,0.44,,0.62,0.83,,,,0.58,,,,0.99,0.7,0.75,,,0.23,0.81,,0.98,0.15,0.97,,,0.83,,0.91,0.86,0.99,0.68,0.99,,,0.98,0.85,,0.92,,,,0.77,0.61,0.26,0.91,,0.27
"('Fish', 'Pomphret')",0.768918919,74,0.84,0.71,,,0.85,,0.97,0.91,0.51,,,0.6,,,,,0.99,,,0.98,0.81,0.94,0.79,,,0.93,0.34,0.05,0.58,,,0.98,0.62,0.68,0.98,0.98,0.93,0.29,0.98,,0.97,,,0.19,0.98,0.93,,,0.97,0.71,0.98,0.47,0.89,,0.6,0.97,,0.96,0.95,,0.96,,0.7,0.97,,0.33,0.91,,0.52,,0.84,0.14,0.92,0.45,,0.97,0.97,,,,0.52,,,,0.99,0.91,0.48,,,0.35,0.95,,0.98,0.15,0.98,,0.96,0.95,0.99,0.48,0.98,0.84,0.82,0.99,0.84,,,0.85,,0.98,,,,0.72,0.84,0.26,0.88,,0.72
"('Besan', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Black', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Coconut', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Cummin', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Eggs', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Gingelly', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Groundnut', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Maida', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Mustard', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Red', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Sugar', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Suji', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Vanaspati', nan)",#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
