,Average,ValidCityCounts,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Banana', 'FAQ')",0.42308642,81,0.23,0.49,,,0.17,,0.19,0.26,0.53,0.79,,0.51,,,,,0.38,,0.88,0.77,0.07,0.05,0.47,,,0.85,0.13,0.09,0.18,,,0.59,0.11,0.06,0.27,0.46,0.73,0.08,0.26,,0.97,0.98,,0.12,0.08,0.55,0.94,,0.15,0.72,0.37,0.16,0.44,,0.45,0.29,,0.85,0.13,,0.09,,0.43,0.24,,0.03,0.33,,0.23,,0.18,0.04,0.09,0.48,,0.61,0.37,,,,0.08,,,0.98,,0.72,0.75,,,0.09,0.06,,0.84,0.12,0.97,,0.96,0.06,0.76,0.43,0.26,0.6,0.04,0.75,0.82,,0.94,0.76,,0.42,0.97,,0.66,0.04,0.33,0.28,0.55,,0.11
"('Rice', 'Common/Coarse')",0.434222222,90,0.2,0.31,,,0.15,,0.17,0.21,0.27,0.79,,0.07,,0.98,,,0.34,,0.8,0.77,0.03,0.02,0.46,,0.99,0.86,0.07,0.06,0.12,0.98,,0.33,0.08,0,0.25,0.43,0.71,0.06,0.19,,0.97,0.98,,0.05,0.05,0.55,0.94,,0.13,0.7,0.08,0.02,0.9,0.98,0.47,0.09,,0.51,0.11,,0.05,,0.41,0.18,,0,0.3,0.99,0.26,0.99,0.07,0,0.07,0.4,,0.6,0.3,0.98,,,0,,,0.98,,0.68,0.35,,,0.08,0.02,,0.84,0.08,0.97,0.98,0.96,0.01,0.76,0.41,0.15,0.6,0.01,0.75,0.82,,0.83,0.76,0.99,0.4,0.97,,0.66,0,0.3,0.26,0.55,,0.08
"('Gram', 'Split')",0.435647059,85,0.23,0.47,,,0.27,0.98,0.18,0.22,0.31,0.93,,0.19,,,,,0.34,,0.88,0.77,0.04,0.03,0.68,,,0.86,0.31,0.07,0.17,,,0.59,0.08,0.02,0.27,0.58,0.73,0.06,0.2,,0.98,0.98,,0.06,0.06,0.55,0.94,,0.14,0.71,0.1,0.04,0.45,,0.58,0.09,,0.52,0.13,0.97,0.05,,0.41,0.18,,0.01,0.33,0.99,0.18,,0.07,0,0.08,0.55,0.96,0.6,0.31,,,,0.02,,,0.98,,0.71,0.65,,,0.08,0.02,,0.84,0.09,0.97,,0.96,0.02,0.76,0.41,0.4,0.6,0.17,0.76,0.82,,0.94,0.76,,0.4,0.98,,0.82,0.15,0.32,0.26,0.58,,0.08
"('Coriander', 'Powdered Agmark')",0.438518519,81,0.2,0.46,,,0.16,,0.18,0.33,0.54,0.99,,0.59,,,,,0.39,,0.88,0.77,0.05,0.03,0.46,,,0.86,0.15,0.05,0.25,,,0.59,0.08,0.16,0.3,0.44,0.71,0.06,0.25,,0.97,0.98,,0.06,0.57,0.55,0.97,,0.32,0.7,0.34,0.15,0.4,,0.79,0.32,,0.53,0.12,,0.06,,0.41,0.35,,0.01,0.31,,0.26,,0.19,0,0.09,0.41,,0.6,0.31,,,,0.69,,,0.98,,0.7,0.75,,,0.08,0.02,,0.84,0.1,0.97,,0.96,0.02,0.77,0.41,0.16,0.6,0.01,0.75,0.87,,0.94,0.76,,0.4,0.97,,0.66,0.2,0.32,0.26,0.55,,0.08
"('Milk', 'Cow/Buffalo')",0.439759036,83,0.2,0.45,,,0.15,0.98,0.17,0.22,0.32,0.79,,0.53,,,,,0.36,,0.86,0.77,0.05,0.03,0.46,,,0.85,0.12,0.1,0.13,,,0.59,0.08,0.14,0.35,0.44,0.71,0.06,0.25,,0.97,0.98,,0.06,0.58,0.56,0.97,,0.14,0.7,0.98,0.16,0.41,,0.44,0.2,,0.54,0.12,,0.06,,0.41,0.18,,0.01,0.3,,0.3,,0.08,0,0.21,0.41,,0.63,0.31,,,,0.15,0.99,,0.98,,0.7,0.75,,,0.3,0.02,,0.84,0.08,0.97,,0.96,0.03,0.76,0.41,0.27,0.6,0.15,0.75,0.82,,0.94,0.76,,0.4,0.97,,0.66,0.17,0.31,0.26,0.55,,0.08
"('Potato', 'FAQ')",0.442,90,0.21,0.45,,,0.16,0.99,0.17,0.23,0.28,0.79,,0.08,0.98,,,,0.34,,0.88,0.77,0.04,0.03,0.46,,0.98,0.84,0.09,0.05,0.13,0.98,,0.59,0.09,0.01,0.26,0.43,0.71,0.07,0.2,,0.97,0.98,,0.06,0.05,0.56,0.94,,0.14,0.71,0.1,0.04,0.41,0.99,0.46,0.1,,0.53,0.11,,0.06,,0.41,0.19,,0.01,0.31,,0.21,,0.07,0,0.08,0.41,0.97,0.6,0.31,,0.98,0.98,0,,,0.98,,0.69,0.75,,,0.09,0.02,0.98,0.84,0.08,0.97,,0.96,0.02,0.76,0.41,0.16,0.6,0.01,0.75,0.82,,0.83,0.76,,0.4,0.97,,0.66,0.01,0.32,0.26,0.57,,0.08
"('Chicken', 'Poultry')",0.444878049,82,0.2,0.58,,,0.17,0.98,0.17,0.22,0.27,0.85,,0.35,,,,,0.57,,0.86,0.77,0.05,0.03,0.46,,,0.86,0.11,0.05,0.13,,,0.59,0.09,0.05,0.95,0.44,0.72,0.61,0.25,,0.97,0.98,,0.07,0.58,0.55,0.97,,0.14,0.71,0.99,0.12,0.42,,0.44,0.33,,0.53,0.12,,0.52,,0.41,0.26,,0.02,0.3,,0.19,,0.07,0.02,0.08,0.4,,0.62,0.33,,,,0.09,,,0.98,,0.69,0.54,,,0.09,0.02,,0.84,0.1,0.97,,0.96,0.02,0.76,0.41,0.16,0.6,0.01,0.82,0.82,,0.94,0.76,,0.4,0.97,,0.66,0.03,0.41,0.27,0.55,,0.09
"('Biscuit', 'Glucose')",0.459506173,81,0.24,0.55,,,0.26,,0.2,0.26,0.53,0.85,,0.61,,,,,0.49,,0.88,0.77,0.09,0.08,0.47,,,0.86,0.19,0.07,0.15,,,0.59,0.12,0.45,0.3,0.47,0.72,0.16,0.26,,0.97,0.98,,0.1,0.63,0.58,0.95,,0.18,0.7,,0.19,0.47,,0.45,0.35,,0.59,0.18,,0.09,,0.43,0.21,,0.05,0.34,,0.3,,0.1,0.04,0.12,0.43,,0.61,0.35,,,,0.1,,,0.98,0.99,0.73,0.75,,,0.12,0.06,,0.84,0.15,0.97,,0.96,0.43,0.76,0.42,0.2,0.6,0.15,0.75,0.82,,0.94,0.77,,0.42,0.97,,0.66,0.31,0.36,0.27,0.57,,0.16
"('Ghee', 'Desi')",0.460609756,82,0.2,0.45,,,0.37,,0.17,0.22,0.34,0.79,,0.77,,,,,0.34,,0.87,0.77,0.05,0.03,0.46,,,0.85,0.15,0.05,0.12,,,0.59,0.08,0.19,0.25,0.51,0.71,0.31,0.24,,0.97,0.98,,0.06,0.55,0.56,0.97,,0.14,0.7,0.84,0.13,0.89,,0.78,0.33,,0.52,0.29,,0.05,,0.41,0.19,,0.01,0.84,,0.26,,0.07,0,0.08,0.41,,0.6,0.44,,,,0.11,1,,0.98,,0.77,0.75,,,0.08,0.02,,0.84,0.16,0.97,,0.96,0.24,0.76,0.41,0.16,0.6,0.02,0.75,0.97,,0.95,0.78,,0.4,0.97,,0.66,0.31,0.31,0.26,0.55,,0.08
"('Wheat', 'Kalyan HYV')",0.461038961,77,,0.31,,,0.99,,0.19,0.22,0.51,0.79,,0.06,,,,,0.34,,0.88,0.77,0.07,0.07,0.46,,,0.98,0.15,0.07,0.12,,,0.59,0.12,0,0.26,,0.79,0.06,0.2,,0.99,0.98,,0.1,0.05,0.94,0.94,,0.15,0.83,0.12,0.28,0.98,,,0.11,,0.99,0.11,,0.09,,0.41,0.18,,0.04,0.98,,0.31,,0.16,0,0.08,0.42,,0.61,0.99,,,,0.04,,,0.98,,0.72,0.56,,,0.11,0.06,,0.84,0.94,0.97,,0.96,0.01,0.77,0.41,0.16,0.6,0.55,0.75,,,0.88,0.76,,0.4,0.97,,0.68,0.07,0.34,0.27,0.55,,0.31
