Vai
Limkheda
Goniana
Vadgam
Badamalhera
Kalyandurg
Ramgang Mandi(Bapawarkala)
Dholpur
Ambaha
Timarni
Sidhi
Paranda
Badrisadri
Dhamnod
Asandh
Selu
Shrirampur(Belapur)
Jetpur(Dist.Rajkot)
Nissing
Taloda
Solan(Banalgi)
Palthan
Mahuva(Station Road)
Rampuraphul(Bhai Rupan)
Taleja
P. Ramacharyulu Park_RBZ
Phek
Guntakal
Lohian Khas
Kalawad
Savanur
Goluwala
Chaksu
Bharatpur(Kumer)
Udaipura
Bhind
Nirmal
Moovattupuzha
Muktsar
Rahatgarh
Nigdu
Vadakkenchery
Panchkula
Dongargaon
Nanggaon
Charkhari
Chandur Bazar
Bandrol
Iamailabad
Kalamb
Amloh
Tanda Urmur
Mhalingapur
Ahmedabad(Rajnagar sub yard)
Rapar
Vikarabad
Pampady
Koyambedu
Ravulapelem
Sheopurbadod
Bathinda
Mandsaur
Chhatarpur
Anantapur
Iklera
Vakener
Badhni Kalan
Talwandi Bhai
Jintur
Chomu
Rani
Penukonda
Ujjain
Bhadaur(Sehna)
Nadwai
Katghora
Nongstoin
Ghanaur
Mukhed
Lakhani
Karpawand
Jind
Sohna
Chechat
Hungund
Nuh
Nagpur(Mahatma Phule Market)
Basana
Sujangarh
Tapa
Deesa(Bhildi)
Maur
Basava Kalayana
Garh Shankar
Thasara
Deedwana
Dhanaula
Navsari
Pundri
Bankhedi
Shopian
Khategaon
Ellanabad
Rajura
Chhpara
Bemetara
Junnar
Sihora
Syopurkalan(F&V;)
Rangpo
Sarangapur
Rahuri(Vambori)
Pithoura
Palampur
Amritsar(Amritsar Mewa Mandi)
Attingal
Vadhvan
Hingoli
Namhol(Bilaspur)
Malpura
Kasrawad
Padra
Anandpur Sahib
Bijolia
Partur
Singroli
Ladwa
Kondagoan
Rajouri (F&V;)
Jamkhed
Raghogarh
Mehekar
Patti
Ashti(Karanja)
Jamkandorna
Paonta Sahib
Dholka(Market Yard Veg)
Mohol
Brahmpuri
Siliguri
Shrigonda(Gogargaon)
Khunthabandha
Karhi
Dhadgaon
Kathua
Aron
Sengoan
Shyampur
Umarked(Danki)
Vadodara(Sayajipura)
Gokak
Gosala
Savarkundla
Sadulpur(ph 3)
Harda
Sargaon
Dabwali
Jodhpur(Grain)(Falodi)
Khetia
Bhinmal
Ferozepur Cantt.
Gangapurcity(Old Lal mandi)
Anand
Dhupguri
Barghat
Bichhiya
Davgadbaria(Piplod)
Kullu(Chauri Bihal)
Momanbadodiya
Khaniadhana
Valod
Nuzvid
Kuthuparambu
Jaitu(Bajakhana)
Chalakudy
Ropar
Naraingarh
Washim
Nawan Shahar(MandiRaho)
Banapura
Sanawad
Nandura
Dound
Kopargaon
Dharmabad
Sironj
Junagadh
Mahidpur
Ausa
Sulargharat(Dirba)
Irrikkur
Mundaragi
Udgir(Devanibud)
Botad
Nargunda
Ralegaon
Morshi
Kahnuwan
Narwal Jammu (F&V;)
Bhadaur
Sridungargarh
Prantij
Karanjia
Pimpalgaon Baswant(Saykheda)
Pipariya
Loharda
Mahasamund
Khamano
Jam Jodhpur
Abohar
Thrippunithura
Boraee
Cheema
Gohana
Ranniangadi
Kondotty
Ankleshwar
Fazilka (Ladhuka)
Thara
Idar
Risod
Jhajjar
Mehmadabad
Jwalaji
Radheja
Kaij
Rewari
Deedwana(Choti Khatu)
Bhiwapur
Bareli
Naigaon
Siddavatam
Khegsu
Bhawani Mandi(Choumahala)
Kila Raipur
Chhindwara
Meghraj
Bikaner (Grain)
Lasur Station
Tura
Dindori(Vani)
Jhunjhunu
Dera Bassi
Dhari
Kharar
Sitmau
Mapusa
Kumbhraj
Khilchipur
Pehowa
Chabra
Goraya
Anajngaon
Kunjpura
Manasa
Khedli(laxmangarh)
Kothapeta
Vidisha
Morinda
Badwani
Mawiong Regulated Market
Hindoun
Ramaganj Mandi
Nawan Shahar(Subzi Mandi)
Kada(Ashti)
Solan(Parwanoo)
Dhule
Metchua
Bhokardan
Lasalgaon(Niphad)
Alwar
Jodhpur(Grain)(bagat Ki Kothi)
Palam
Katni(F&V;)
Damoh
Mantha
Malegaon
Jagdalpur
Vuyyur
Junnar(Alephata)
Hansi
Jawala-Bajar
Pataudi
Suthalia
Faridabad
Narsinghgarh
Gurdaspur
Mohindergarh
Dhrol
Palwal
Jhabua
Kamthi
Bagalakot
Ganjbasoda
Malia Hatina
Khariar
Mahbubnagar
Umarga
Talod(Harsol)
Rawla
Gharsana
Kosli
Shrigonda
Newasa(Ghodegaon)
Khadur Sahib(Fetehabad)
Balasinor
Sarayapali
Manjeswaram
Balachaur
Piprai
Dharsul
Dudhansadhan
Mansa(Manas Veg Yard)
Ahmedgarh
Raisingh Nagar
Shujalpur
Badnawar
Begamganj
Ambala City
Attari
Lalgarh Jatan
Durg
Vagodiya
Shajapur
Moonak
Bhadara
Tohana
Khanauri
Batote
Virudhachalam
Chintapally
Dubbak
Deeg
Sonepat
Sherpur
Bhattu Kalan
Yamuna Nagar
Sami
Nawan Shahar(Mandi Jadla)
Talwandi Bhai(Mudki)
Sillod(Bharadi)
Kulgam
Jasdan
Jalgaon(Jamod)
Bhawanigarh
Samba
Vadali
Shankarapally
Mullana
Moga
Kesarisinghpur
Chanarthal
Javera
Manawar
Giddarbaha
Udumalpet
Kama
Pothencode
Shevgaon(Bodhegaon)
Budalada
Mahur
Siddipet
Perumbavoor
Tarantaran
Mudkhed
Bhesan
Chhachrauli
Dakala
Madanganj Kishanganj
Barnala
Rattia
Siddhpur
Jalandhar City
Kosamba
Visoli
Pipli
Shimla and Kinnaur(Koti)
Ajmer(F&V;)
Ahmedabad(Chimanbhai Patal Market Vasana)
Khairthal
Jora
Yawal
Rahuri(Songaon)
Bhikangaon
