index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
17102008weekIndiaAmritsar,48,13,10,20,42,5,220,12,15,90,NA,NA,140,180,NA,NA,200,120,40,40,NA,28,12,15,10,60,150,18,18,55,80,12,6,NA,15,20,50,60,3,11,21.5,16,120,25,60,125,60,NA
17112006weekIndiaAmritsar,36,12,12,20,45,10,140,10,12,70,NA,34,140,120,24,NA,160,70,39,40,80,22,12,14,12,38,130,11,15,50,48,8,12,32,70,14,32,40,5,8,21,14,27,15,52,52,54,9.5
17122010weekIndiaAmritsar,68,15,13,35,38,5,270,10,20,140,NA,20,165,NA,36,NA,250,65,36,34,85,50,15,20,15,60,200,22,22,65,66,25,8,NA,NA,22,NA,NA,12,12,34,20,180,20,60,NA,55,NA
18012008weekIndiaAmritsar,42,12,9,20,36,3,180,12,15,80,NA,NA,100,160,30,400,150,90,34,32,95,22,12,15,10,40,140,12,16,40,60,8,7,NA,18,18,45,55,2,8,17.5,16,120,15,35,125,58,NA
18022005weekIndiaAmritsar,NA,NA,NA,NA,NA,5,NA,8,NA,NA,NA,NA,50,NA,NA,NA,NA,60,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA
18022011weekIndiaAmritsar,75,15,13,40,38,5,270,15,30,140,NA,25,165,NA,36,NA,250,65,36,34,85,50,15,20,15,65,240,25,25,68,NA,20,4.5,NA,34,22,NA,NA,12,13.9,33,20,NA,20,60,NA,55,NA
18032005weekIndiaAmritsar,34,9.5,10,15,24,5,220,8,10,70,32,30,50,130,22,NA,135,60,22,20,65,16,7,15,7,28,100,15,15,28,44,8,3,8,NA,14,52,58,6,7,20,12,45,8,28,NA,48,NA
18032011weekIndiaAmritsar,80,15,14,40,40,5,270,15,30,120,NA,25,165,NA,34,NA,245,65,36,34,85,45,16,22,16,65,220,25,25,68,NA,15,10,NA,34,25,NA,NA,12,12.9,33,20,130,20,60,NA,55,NA
18052007weekIndiaAmritsar,38,12.5,10,25,36,10,160,12,12,90,12,15,130,140,30,NA,160,70,36,34,80,20,12,16,12,40,140,13,16,50,52,10,8,NA,14,15,35,40,2,6,16,16,110,15,50,110,54,8.8999996
18052012weekIndiaAmritsar,68,16,20,50,60,6,500,18,15,120,150,NA,120,NA,27,NA,290,90,56,54,110,55,18,18,18,58,260,32,30,84,95,10,15,NA,30,26,NA,NA,8,14,33.5,20,200,15,60,NA,80,NA
18062010weekIndiaAmritsar,70,14,13,65,38,NA,NA,NA,30,120,32,NA,165,8,36,NA,10,65,36,32,85,160,14,19,12,65,160,22,25,75,66,20,10,NA,17,22,NA,NA,12,30,42,19,66,15,62,NA,48,NA
18072008weekIndiaAmritsar,45,12.5,10,25,38,5,220,12,12,90,NA,NA,140,180,30,NA,170,120,35,32,110,24,12,15,10,55,150,18,18,45,75,6,6,NA,15,20,50,60,2.5,7,18,16,120,15,45,150,65,NA
18082006weekIndiaAmritsar,40,11,10,25,36,10,120,10,15,85,24,30,65,96,15.6,NA,150,60,34,35,75,22,9,13,10,36,130,12,15,48,55,8,10,10,60,15,32,40,5,8,21,13,27,15,48,52,52,7.8000002
18092009weekIndiaAmritsar,80,14,13,25,38,5,180,15,20,120,NA,20,165,NA,36,NA,240,65,38,36,85,35,14,17,10.5,72,200,22,22,50,58,13,15,NA,17,22,NA,NA,10,12,32,18,160,25,45,NA,50,NA
