index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
16112012weekIndiaDelhi,68,20,15,35,NA,NA,NA,NA,15,120,NA,NA,125,NA,40,570,320,NA,60,50,150,45,18,NA,16,56,270,38,NA,72,105,18,16,NA,30,24,NA,NA,NA,16,40,NA,NA,20,68,NA,70,NA
23112012weekIndiaDelhi,65,20,16,35,NA,NA,NA,NA,20,110,NA,NA,125,NA,40,575,320,NA,60,48,150,40,18,NA,18,56,270,38,NA,70,105,20,18,NA,30,24,NA,NA,NA,16,40,NA,NA,20,68,NA,70,NA
30112012weekIndiaDelhi,65,20,16,35,NA,NA,NA,NA,20,110,NA,NA,125,NA,40,570,320,NA,60,49,150,40,18,NA,18,56,270,38,NA,70,105,20,16,NA,30,25,NA,NA,NA,16,40,NA,NA,20,68,NA,70,NA
07122012weekIndiaDelhi,65,20,17,35,NA,NA,NA,NA,20,110,NA,NA,125,NA,40,575,320,NA,60,48,150,40,18,NA,18,56,270,38,NA,70,105,20,18,NA,30,24,NA,NA,NA,16,40,NA,NA,18,68,NA,70,NA
14122012weekIndiaDelhi,65,20,17,35,NA,NA,NA,NA,20,120,NA,NA,130,NA,40,580,320,NA,60,50,150,40,18,NA,19,56,270,38,NA,70,105,20,16,NA,30,24,NA,NA,NA,16,40,NA,NA,16,68,NA,70,NA
21122012weekIndiaDelhi,65,20,17,35,NA,NA,NA,NA,18,130,NA,NA,130,NA,40,575,320,NA,60,46,160,40,18,NA,19,56,270,38,NA,70,105,20,12,NA,30,24,NA,NA,NA,16,38,NA,NA,16,68,NA,70,NA
28122012weekIndiaDelhi,65,19,18,35,NA,NA,NA,NA,18,120,NA,NA,130,NA,40,575,320,NA,58,44,160,38,19,NA,19,55,270,38,NA,68,105,20,12,NA,30,24,NA,NA,NA,16,38,NA,NA,12,65,NA,65,NA
04012013weekIndiaDelhi,65,19,18,35,NA,NA,NA,NA,16,135,NA,NA,130,NA,40,570,320,NA,56,43,160,38,18,NA,19,55,270,38,NA,68,105,20,10,NA,30,24,NA,NA,NA,16,38,NA,NA,10,65,NA,62,NA
11012013weekIndiaDelhi,65,19,18,35,NA,NA,NA,NA,15,145,NA,NA,130,NA,40,575,320,NA,56,44,160,38,18,NA,19,55,270,38,NA,68,105,20,10,NA,30,24,NA,NA,NA,16,38,NA,NA,16,65,NA,62,NA
18012013weekIndiaDelhi,65,20,18,30,NA,NA,NA,NA,20,140,NA,NA,130,NA,40,575,320,NA,56,43,160,38,18,NA,19,55,270,38,NA,68,105,22,8,NA,30,24,NA,NA,NA,16,38,NA,NA,18,65,NA,62,NA
25012013weekIndiaDelhi,70,NA,19,90,160,NA,NA,NA,30,40,38,NA,62,10,105,NA,NA,105,NA,55,NA,NA,18,65,NA,65,135,NA,NA,55,130,15,30,20,12,24,NA,NA,16,18,40,NA,NA,20,43,270,NA,18
01022013weekIndiaDelhi,65,20,18,35,NA,NA,NA,NA,20,145,NA,NA,130,NA,40,580,320,NA,55,42,160,40,18,NA,19,55,270,38,NA,70,105,32,12,NA,30,24,NA,NA,NA,16,38,NA,NA,20,65,NA,62,NA
08022013weekIndiaDelhi,65,20,17,35,NA,NA,NA,NA,30,150,NA,NA,130,NA,40,590,320,NA,54,40,160,40,18,NA,17,55,270,38,NA,70,105,32,10,NA,30,25,NA,NA,NA,16,38,NA,NA,15,68,NA,62,NA
