index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
28052010weekIndiaAmritsar,medium decrease,small decrease,unchanged increase,medium increase,small decrease,15,NA,NA,30,unchanged increase,small decrease,NA,unchanged increase,small increase,unchanged increase,NA,unchanged increase,unchanged increase,small decrease,small decrease,unchanged increase,medium increase,unchanged increase,unchanged increase,unchanged increase,small decrease,unchanged increase,unchanged increase,unchanged increase,medium decrease,unchanged increase,small decrease,small decrease,NA,unchanged increase,unchanged increase,NA,NA,unchanged increase,medium increase,medium decrease,unchanged increase,small increase,unchanged increase,small decrease,NA,unchanged increase,NA
13082010weekIndiaAmritsar,small decrease,small increase,unchanged increase,small decrease,unchanged increase,medium decrease,NA,NA,small increase,unchanged increase,small decrease,NA,unchanged increase,small increase,unchanged increase,NA,unchanged increase,unchanged increase,unchanged increase,small decrease,unchanged increase,unchanged increase,small increase,small increase,small increase,small decrease,unchanged increase,unchanged increase,unchanged increase,small decrease,unchanged increase,small increase,small increase,NA,unchanged increase,unchanged increase,NA,NA,unchanged increase,unchanged increase,small decrease,small increase,small increase,small increase,small increase,NA,unchanged increase,NA
29102010weekIndiaAmritsar,unchanged increase,unchanged increase,unchanged increase,small decrease,unchanged increase,medium decrease,265,10,small decrease,unchanged increase,NA,15,unchanged increase,NA,unchanged increase,NA,medium increase,unchanged increase,unchanged increase,small increase,unchanged increase,medium decrease,unchanged increase,unchanged increase,medium increase,unchanged increase,small increase,unchanged increase,small decrease,small decrease,unchanged increase,small decrease,small decrease,NA,small increase,unchanged increase,NA,NA,small decrease,big decrease,small decrease,unchanged increase,medium increase,small increase,small decrease,NA,small increase,NA
14012011weekIndiaAmritsar,small increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,big increase,small increase,small increase,NA,small increase,unchanged increase,NA,small increase,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,unchanged increase,unchanged increase,unchanged increase,small increase,small increase,small increase,small increase,small increase,unchanged increase,small increase,small decrease,NA,NA,unchanged increase,NA,NA,small increase,unchanged increase,small increase,unchanged increase,NA,unchanged increase,unchanged increase,NA,small increase,NA
01042011weekIndiaAmritsar,small increase,unchanged increase,small increase,small increase,small increase,unchanged increase,small increase,unchanged increase,small increase,small decrease,NA,unchanged increase,unchanged increase,NA,small decrease,NA,small decrease,unchanged increase,small increase,NA,unchanged increase,small decrease,small increase,small increase,small increase,small decrease,unchanged increase,small increase,small increase,small increase,NA,small decrease,small increase,NA,30,small increase,NA,NA,unchanged increase,unchanged increase,small decrease,unchanged increase,130,small decrease,small increase,NA,unchanged increase,NA
17062011weekIndiaAmritsar,small decrease,small increase,small increase,small increase,unchanged increase,unchanged increase,small decrease,unchanged increase,small decrease,unchanged increase,NA,small increase,NA,NA,unchanged increase,NA,small increase,NA,unchanged increase,42,small decrease,small decrease,unchanged increase,small decrease,unchanged increase,small decrease,small increase,small increase,small increase,unchanged increase,78,UD decrease,small decrease,NA,small decrease,small increase,NA,NA,unchanged increase,unchanged increase,unchanged increase,small decrease,unchanged increase,small decrease,small increase,NA,small increase,NA
02092011weekIndiaAmritsar,unchanged increase,small increase,small increase,small increase,small increase,big increase,NA,NA,small increase,small increase,33,NA,115,14,small increase,NA,medium decrease,NA,small increase,small increase,small decrease,medium increase,unchanged increase,unchanged increase,medium increase,unchanged increase,unchanged increase,small decrease,unchanged increase,unchanged increase,small decrease,small increase,medium increase,NA,small decrease,small increase,NA,NA,unchanged increase,small increase,small increase,unchanged increase,NA,small increase,small decrease,NA,small decrease,NA
18112011weekIndiaAmritsar,unchanged increase,small decrease,NA,small decrease,small decrease,unchanged increase,NA,NA,small increase,unchanged increase,unchanged increase,NA,small increase,small decrease,unchanged increase,NA,small decrease,80,small decrease,small decrease,small increase,small increase,small increase,unchanged increase,unchanged increase,unchanged increase,small increase,small increase,unchanged increase,small increase,small increase,small decrease,small decrease,NA,small increase,unchanged increase,32,NA,unchanged increase,small decrease,small increase,small increase,75,small increase,small decrease,NA,small increase,NA
03022012weekIndiaAmritsar,unchanged increase,unchanged increase,16,small decrease,small increase,medium decrease,400,15,small decrease,small decrease,NA,30,unchanged increase,NA,small increase,NA,medium increase,small increase,small increase,small increase,small increase,medium decrease,unchanged increase,small decrease,unchanged increase,small decrease,small increase,small increase,unchanged increase,small decrease,unchanged increase,small decrease,small decrease,NA,small increase,big decrease,NA,NA,small decrease,unchanged increase,small decrease,unchanged increase,medium increase,unchanged increase,small decrease,NA,unchanged increase,NA
27042012weekIndiaAmritsar,small decrease,unchanged increase,small increase,unchanged increase,unchanged increase,medium decrease,small increase,small increase,unchanged increase,unchanged increase,150,NA,unchanged increase,NA,small decrease,NA,small decrease,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,unchanged increase,unchanged increase,unchanged increase,small increase,small decrease,small decrease,small increase,NA,small increase,small increase,NA,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,unchanged increase,NA,unchanged increase,NA
13072012weekIndiaAmritsar,small increase,small increase,small decrease,big increase,small increase,NA,big decrease,NA,NA,small increase,medium increase,55,small decrease,15,NA,30,medium decrease,small increase,small increase,small increase,small decrease,small decrease,medium increase,big increase,NA,small decrease,big decrease,medium increase,small decrease,small decrease,small increase,small increase,small increase,16,NA,small increase,NA,NA,small increase,small decrease,small increase,small decrease,big decrease,NA,small decrease,140,medium increase,18
