date,Apple,Banana,Onion,Potato
2009-12-16,35.79375,10.0,13.512020905923345,6.7228682170542635
2009-12-17,36.1,10.0,13.963414634146341,6.7984496124031
2009-12-18,38.90625,10.75,13.721951219512196,6.582364341085271
2009-12-19,39.2125,9.25,13.78048780487805,6.595445736434108
2009-12-20,39.51875,10.0,14.1390243902439,6.400193798449613
2009-12-21,39.825,10.25,15.097560975609756,6.0966085271317825
2009-12-22,40.13125,10.5,16.05609756097561,6.009689922480621
2009-12-23,40.4375,10.5,15.828919860627177,5.990033222591362
2009-12-24,40.74375,11.0,14.751742160278747,5.970376522702104
2009-12-25,43.55,10.25,15.974564459930315,5.950719822812846
2009-12-26,41.35625,10.5,14.697386759581883,6.289396456256921
2009-12-27,41.6625,10.666666666666666,15.505923344947737,6.104263565891473
2009-12-28,41.96875,10.833333333333334,15.464459930313591,6.119130675526024
2009-12-29,42.275,11.0,15.422996515679444,6.017331118493909
2009-12-30,40.08125,11.5,15.66724738675958,5.519102990033223
2009-12-31,40.3875,11.0,15.711498257839718,5.40420819490587
2010-01-01,40.69375,11.5,15.622415795586528,5.469868955334071
2010-01-02,41.0,11.5,15.733333333333334,5.577196382428941
2010-01-03,40.5,11.5,14.2,5.708333333333333
2010-01-04,40.5,11.5,14.5875,5.732638888888889
2010-01-05,40.5,11.5,14.375,5.715277777777778
2010-01-06,40.5,11.75,14.7625,5.697916666666667
2010-01-07,45.5,11.0,14.73,5.695833333333333
2010-01-08,50.5,11.5,15.7875,5.427083333333333
2010-01-09,46.0,11.375,15.675,5.208333333333333
2010-01-10,45.25,11.25,14.5425,5.764583333333333
2010-01-11,31.25,11.125,14.23,5.440277777777777
2010-01-12,43.58333333333333,10.75,14.169999999999998,5.480555555555555
2010-01-13,25.916666666666668,11.5,14.11,5.195833333333334
2010-01-14,35.75,11.0,13.86,5.666666666666667
2010-01-15,35.583333333333336,11.5,14.8,5.541666666666667
2010-01-16,40.41666666666667,11.5,14.65,5.416666666666667
2010-01-17,42.75,11.25,15.316666666666666,5.5
2010-01-18,43.5,11.5,13.743333333333334,5.458333333333333
2010-01-19,43.5,11.5,13.84,5.478333333333333
2010-01-20,43.0,11.5,14.623333333333335,5.4366666666666665
2010-01-21,41.0,12.5,14.616666666666665,5.208333333333333
2010-01-22,41.75,12.5,14.0,5.166666666666667
2010-01-23,45.0,12.0,12.559999999999999,5.066666666666666
2010-01-24,48.75,12.1,13.566666666666668,5.1499999999999995
2010-01-25,41.0,12.2,13.633333333333331,5.191666666666666
2010-01-26,40.5,12.3,13.8,5.083333333333333
2010-01-27,43.5,12.4,13.919999999999998,4.583333333333333
2010-01-28,40.5,12.5,13.77,5.041666666666667
2010-01-29,40.5,12.5,14.9,4.791666666666667
2010-01-30,41.0,12.5,13.6,4.808333333333334
2010-01-31,37.75,12.5,13.566666666666668,4.6499999999999995
2010-02-01,35.33333333333333,12.5,13.666666666666666,4.5361111111111105
2010-02-02,32.91666666666667,12.5,13.666666666666666,4.488888888888889
2010-02-03,34.0625,12.5,13.680000000000001,4.202777777777778
2010-02-04,33.54166666666667,12.75,13.88,4.055555555555555
2010-02-05,33.02083333333333,12.75,14.4,4.075
2010-02-06,32.5,12.75,14.65,4.033333333333333
2010-02-07,35.0,12.583333333333334,14.5,4.166666666666667
2010-02-08,31.75,12.416666666666666,13.39,3.841666666666667
2010-02-09,33.0,12.25,12.266666666666666,3.875
2010-02-10,34.25,12.75,13.153333333333332,3.733333333333333
2010-02-11,35.5,12.75,14.4,4.1000000000000005
