date,Apple,Banana,Onion,Potato,Rice,Wheat
2005-01-01,21.150000000000002,4.925,4.5249999999999995,2.3499999999999996,8.525,7.090000000000001
2005-01-02,21.150000000000002,4.925,4.5249999999999995,2.3499999999999996,8.525,7.090000000000001
2005-01-03,21.150000000000002,4.9125,4.511111111111111,2.336111111111111,8.525,7.07
2005-01-04,21.150000000000002,4.9,4.513888888888889,2.3222222222222224,8.544444444444444,7.07
2005-01-05,21.194444444444446,4.916666666666666,4.527777777777778,2.2938888888888886,8.561111111111112,7.083333333333334
2005-01-06,21.23888888888889,4.895833333333333,4.547222222222222,2.307777777777778,8.577777777777778,7.086666666666666
2005-01-07,21.283333333333335,4.9,4.558333333333334,2.296666666666667,8.549999999999999,7.08
2005-01-08,21.283333333333335,4.9,4.591666666666666,2.2952777777777773,8.576346801346801,7.08
2005-01-09,21.272222222222222,4.887499999999999,4.605555555555556,2.308888888888889,8.583249158249158,7.056666666666667
2005-01-10,21.26111111111111,4.875,4.586111111111111,2.308611111111111,8.573484848484847,7.063333333333333
2005-01-11,21.25,4.8875,4.583333333333333,2.275,8.555387205387206,7.039999999999999
2005-01-12,21.216666666666665,4.9,4.430555555555555,2.2916666666666665,8.559511784511786,7.053333333333333
2005-01-13,21.255555555555556,4.910416666666667,4.422222222222222,2.2875,8.571969696969697,7.076666666666666
2005-01-14,21.26111111111111,4.96904761904762,4.412222222222223,2.2848412698412695,8.582760942760942,7.078
2005-01-15,21.3,5.0651785714285715,4.41,2.279404761904762,8.557441077441077,7.066
2005-01-16,21.46111111111111,5.111309523809524,4.370555555555556,2.296190476190476,8.557121212121212,7.053999999999999
2005-01-17,21.622222222222224,5.182440476190476,4.325555555555556,2.293531746031746,8.556801346801349,7.048666666666667
2005-01-18,21.78333333333333,5.216071428571429,4.280555555555556,2.2575396825396825,8.564814814814815,7.053333333333333
2005-01-19,21.71666666666667,5.296785714285714,4.2250000000000005,2.2407142857142857,8.55949494949495,7.062
2005-01-20,21.916666666666668,5.3774999999999995,4.233333333333333,2.2516666666666665,8.562508417508417,7.07
2005-01-21,21.983333333333334,5.3725000000000005,4.189444444444445,2.2694444444444444,8.575521885521885,7.074000000000001
2005-01-22,22.01666666666667,5.3175,4.197222222222222,2.2622222222222224,8.571868686868688,7.074
2005-01-23,22.088888888888892,5.308333333333334,4.2,2.285555555555556,8.57654882154882,7.0840000000000005
2005-01-24,22.161111111111115,5.266666666666667,4.191666666666666,2.3027777777777776,8.587895622895623,7.087999999999999
2005-01-25,22.233333333333334,5.2125,4.2,2.295,8.56590909090909,7.0920000000000005
2005-01-26,22.29722222222222,5.170833333333333,4.214583333333334,2.2827777777777776,8.561005892255892,7.0920000000000005
2005-01-27,22.36111111111111,5.129166666666666,4.229166666666667,2.270555555555555,8.556102693602694,7.0920000000000005
2005-01-28,22.425,5.0875,4.24375,2.2583333333333333,8.551199494949495,7.0920000000000005
2005-01-29,22.5,5.1,4.241666666666666,2.2550000000000003,8.571296296296296,7.0600000000000005
2005-01-30,22.505555555555556,5.079166666666667,4.243055555555555,2.2805555555555554,8.578198653198653,7.083333333333334
2005-01-31,22.51111111111111,5.108333333333333,4.219444444444444,2.3011111111111107,8.603434343434342,7.066666666666667
2005-02-01,22.516666666666666,5.1,4.204166666666667,2.3133333333333335,8.628670033670033,7.109999999999999
2005-02-02,22.522222222222222,5.101785714285715,4.188888888888889,2.3279365079365077,8.631683501683503,7.111428571428571
