date,Onion,Potato,Rice
2009-05-26,12.0,11.0,14.0
2009-05-27,12.0,11.0,14.0
2009-05-28,12.0,13.0,14.0
2009-05-29,12.0,13.0,14.0
2009-05-30,12.0,13.0,14.0
2009-05-31,12.0,13.0,14.0
2009-06-01,12.0,13.0,14.0
2009-06-02,12.0,13.0,14.0
2009-06-03,12.0,13.0,14.0
2009-06-04,12.0,13.0,14.0
2009-06-05,12.0,13.0,14.0
2009-06-06,12.0,13.0,14.0
2009-06-07,12.0,13.0,14.0
2009-06-08,12.0,13.0,14.0
2009-06-09,12.0,13.0,14.0
2009-06-10,13.0,14.0,14.0
2009-06-11,13.0,14.0,14.0
2009-06-12,13.0,14.0,14.0
2009-06-13,13.0,14.0,14.0
2009-06-14,13.0,14.0,14.0
2009-06-15,13.0,14.0,14.0
2009-06-16,13.0,14.0,14.0
2009-06-17,12.0,14.0,14.0
2009-06-18,12.0,14.0,14.0
2009-06-19,12.0,14.0,14.0
2009-06-20,12.0,14.0,14.0
2009-06-21,12.0,14.0,14.0
2009-06-22,12.0,14.0,14.0
2009-06-23,12.0,14.0,14.0
2009-06-24,12.0,14.0,14.0
2009-06-25,12.0,14.0,14.0
2009-06-26,12.0,14.0,14.0
2009-06-27,12.0,14.0,14.0
2009-06-28,12.0,14.0,14.0
2009-06-29,12.0,14.0,14.0
2009-06-30,12.0,14.0,14.0
2009-07-01,12.0,14.0,14.0
2009-07-02,12.0,14.0,14.0
2009-07-03,12.0,14.0,14.0
2009-07-04,12.0,14.0,14.0
2009-07-05,12.0,14.0,14.0
2009-07-06,12.0,14.0,14.0
2009-07-07,12.0,14.0,14.0
2009-07-08,14.0,15.0,14.0
2009-07-09,14.0,15.0,14.0
2009-07-10,14.0,15.0,14.0
2009-07-11,13.5,15.0,14.0
2009-07-12,13.0,15.0,14.0
2009-07-13,12.5,15.0,14.0
2009-07-14,12.0,15.0,14.0
2009-07-15,12.0,15.0,14.0
2009-07-16,14.0,14.0,14.0
2009-07-17,14.0,14.0,14.0
2009-07-18,14.0,14.0,14.0
2009-07-19,14.0,14.0,14.0
2009-07-20,14.0,14.0,14.0
2009-07-21,14.0,14.0,14.0
2009-07-22,14.0,15.0,14.0
2009-07-23,14.0,15.0,14.0
2009-07-24,14.0,15.0,14.0
2009-07-25,14.0,15.0,14.0
2009-07-26,14.0,15.0,14.0
2009-07-27,14.0,15.0,14.0
2009-07-28,14.0,15.0,14.0
2009-07-29,14.0,15.0,14.0
2009-07-30,14.0,15.0,14.0
2009-07-31,14.0,15.0,14.0
2009-08-01,14.0,15.0,14.0
2009-08-02,14.0,15.0,14.0
2009-08-03,14.0,15.0,14.0
2009-08-04,14.0,15.0,14.0
2009-08-05,14.0,15.0,14.0
2009-08-06,14.0,15.0,14.0
2009-08-07,14.0,15.0,14.0
2009-08-08,14.0,15.0,14.0
2009-08-09,14.0,15.0,14.0
2009-08-10,14.0,15.0,14.0
2009-08-11,14.0,15.0,14.0
2009-08-12,14.0,15.0,14.0
2009-08-13,14.0,15.0,14.0
2009-08-14,14.0,15.0,14.0
2009-08-15,14.0,15.0,14.0
2009-08-16,14.0,15.0,14.0
2009-08-17,14.0,15.0,14.0
2009-08-18,14.0,15.0,14.0
2009-08-19,14.0,15.0,14.0
2009-08-20,14.0,15.0,14.0
2009-08-21,14.0,15.0,14.0
2009-08-22,13.5,15.0,14.0
2009-08-23,13.0,15.0,14.0
2009-08-24,12.5,15.0,14.0
2009-08-25,12.0,15.0,14.0
2009-08-26,12.0,15.0,14.0
2009-08-27,12.0,15.0,14.0
2009-08-28,12.0,15.0,14.0
2009-08-29,12.0,15.0,14.0
2009-08-30,12.0,15.0,14.0
2009-08-31,12.0,15.0,14.0
2009-09-01,12.0,15.0,14.0
2009-09-02,12.0,15.0,14.0
2009-09-03,12.0,15.0,14.0
2009-09-04,12.0,18.0,14.0
2009-09-05,12.5,18.0,14.0
2009-09-06,13.0,18.0,14.0
2009-09-07,13.5,18.0,14.0
2009-09-08,14.0,18.0,14.0
2009-09-09,14.0,18.0,14.0
2009-09-10,14.0,18.0,14.0
2009-09-11,14.0,18.0,14.0
2009-09-12,14.0,18.0,14.0
2009-09-13,14.0,18.0,14.0
2009-09-14,14.0,18.0,14.0
2009-09-15,14.0,18.0,14.0
2009-09-16,14.0,18.0,14.0
2009-09-17,14.0,18.0,14.0
2009-09-18,14.0,18.0,14.0
2009-09-19,14.0,18.0,14.0
2009-09-20,14.0,18.0,14.0
2009-09-21,14.0,18.0,14.0
2009-09-22,14.0,18.0,14.0
2009-09-23,14.0,18.0,14.0
2009-09-24,14.0,18.0,14.0
2009-09-25,14.0,18.0,14.0
2009-09-26,14.0,18.0,14.0
2009-09-27,14.0,18.0,14.0
2009-09-28,14.0,18.0,14.0
2009-09-29,14.0,18.0,14.0
2009-09-30,14.0,18.0,14.0
2009-10-01,14.0,18.0,14.0
2009-10-02,14.8,18.4,14.0
2009-10-03,15.6,18.8,14.0
2009-10-04,16.4,19.2,14.0
2009-10-05,17.2,19.6,14.0
2009-10-06,18.0,20.0,14.0
2009-10-07,18.0,20.0,14.0
2009-10-08,22.0,20.0,14.0
2009-10-09,22.0,20.0,14.0
2009-10-10,20.25,20.0,14.0
2009-10-11,18.5,20.0,14.0
2009-10-12,16.75,20.0,14.0
2009-10-13,15.0,20.0,14.0
2009-10-14,24.0,19.0,14.0
2009-10-15,24.0,19.0,14.0
2009-10-16,24.0,19.0,14.0
2009-10-17,24.0,19.25,14.0
2009-10-18,24.0,19.5,14.0
2009-10-19,24.0,19.75,14.0
2009-10-20,24.0,20.0,14.0
2009-10-21,24.0,20.0,14.0
2009-10-22,24.0,20.0,14.0
2009-10-23,25.0,19.0,15.0
2009-10-24,25.75,19.0,15.0
2009-10-25,26.5,19.0,15.0
2009-10-26,27.25,19.0,15.0
2009-10-27,28.0,19.0,15.0
2009-10-28,28.0,19.0,15.0
2009-10-29,28.0,19.0,15.0
2009-10-30,25.0,20.0,14.0
2009-10-31,24.8,20.0,14.2
2009-11-01,24.6,20.0,14.4
2009-11-02,24.4,20.0,14.6
2009-11-03,24.2,20.0,14.8
2009-11-04,24.0,20.0,15.0
2009-11-05,24.0,20.0,15.0
2009-11-06,24.0,20.0,15.0
2009-11-07,24.0,20.0,15.0
2009-11-08,24.0,20.0,15.0
2009-11-09,24.0,20.0,15.0
2009-11-10,24.0,20.0,15.0
2009-11-11,22.0,20.0,14.0
2009-11-12,22.0,20.0,14.0
2009-11-13,20.0,18.0,16.0
2009-11-14,20.0,18.0,15.75
2009-11-15,20.0,18.0,15.5
2009-11-16,20.0,18.0,15.25
2009-11-17,20.0,18.0,15.0
2009-11-18,20.0,18.0,15.0
2009-11-19,20.0,18.0,15.0
2009-11-20,24.0,18.0,15.0
2009-11-21,24.25,18.5,15.0
2009-11-22,24.5,19.0,15.0
2009-11-23,24.75,19.5,15.0
2009-11-24,25.0,20.0,15.0
2009-11-25,27.0,18.0,15.0
2009-11-26,30.0,16.0,15.0
2009-11-27,32.0,16.0,15.0
2009-11-28,32.5,16.0,15.0
2009-11-29,33.0,16.0,15.0
2009-11-30,33.5,16.0,15.0
2009-12-01,34.0,16.0,15.0
2009-12-02,30.0,18.0,15.0
2009-12-03,30.0,18.0,15.0
2009-12-04,28.0,18.0,16.0
2009-12-05,28.0,17.75,15.75
2009-12-06,28.0,17.5,15.5
2009-12-07,28.0,17.25,15.25
2009-12-08,28.0,17.0,15.0
2009-12-09,28.0,17.0,15.0
2009-12-10,28.0,17.0,15.0
2009-12-11,28.0,17.0,15.0
2009-12-12,27.5,17.0,15.0
2009-12-13,27.0,17.0,15.0
2009-12-14,26.5,17.0,15.0
2009-12-15,26.0,17.0,15.0
2009-12-16,22.0,16.0,15.0
2009-12-17,22.0,16.0,15.0
2009-12-18,22.0,16.0,15.0
2009-12-19,21.5,15.5,15.0
2009-12-20,21.0,15.0,15.0
2009-12-21,20.5,14.5,15.0
2009-12-22,20.0,14.0,15.0
2009-12-23,20.0,14.0,15.0
2009-12-24,20.0,14.0,15.0
2009-12-25,20.666666666666668,13.666666666666664,15.5
2009-12-26,21.33333333333333,13.333333333333336,16.0
2009-12-27,22.0,13.0,16.5
2009-12-28,22.66666666666667,12.666666666666664,17.0
2009-12-29,23.33333333333333,12.333333333333336,17.5
2009-12-30,24.0,12.0,18.0
2009-12-31,25.0,10.0,17.0
2010-01-01,25.0,10.0,17.0
2010-01-02,25.0,10.0,17.25
2010-01-03,25.0,10.0,17.5
2010-01-04,25.0,10.0,17.75
2010-01-05,25.0,10.0,18.0
2010-01-06,25.0,10.0,18.0
2010-01-07,25.0,10.0,18.0
2010-01-08,25.0,10.0,18.0
2010-01-09,25.0,10.0,18.0
2010-01-10,25.0,10.0,18.0
2010-01-11,25.0,10.0,18.0
2010-01-12,25.0,10.0,18.0
2010-01-13,25.0,10.0,18.0
2010-01-14,25.0,8.0,18.0
2010-01-15,25.0,8.0,18.0
2010-01-16,24.75,8.0,18.0
2010-01-17,24.5,8.0,18.0
2010-01-18,24.25,8.0,18.0
2010-01-19,24.0,8.0,18.0
2010-01-20,24.0,8.0,18.0
2010-01-21,24.0,8.0,18.0
2010-01-22,24.0,8.0,18.0
2010-01-23,23.66666666666667,7.666666666666668,18.0
2010-01-24,23.33333333333333,7.333333333333332,18.0
2010-01-25,23.0,7.0,18.0
2010-01-26,22.66666666666667,6.666666666666668,18.0
2010-01-27,22.33333333333333,6.333333333333334,18.0
2010-01-28,22.0,6.0,18.0
2010-01-29,24.0,5.0,18.0
2010-01-30,24.5,4.75,18.0
2010-01-31,25.0,4.5,18.0
2010-02-01,25.5,4.25,18.0
2010-02-02,26.0,4.0,18.0
2010-02-03,26.0,4.0,18.0
2010-02-04,26.0,4.0,18.0
2010-02-05,22.0,5.0,18.0
2010-02-06,21.5,5.0,18.0
2010-02-07,21.0,5.0,18.0
2010-02-08,20.5,5.0,18.0
2010-02-09,20.0,5.0,18.0
2010-02-10,20.0,5.0,18.0
2010-02-11,22.0,4.0,18.0
2010-02-12,22.0,4.0,18.0
2010-02-13,22.75,4.25,18.0
2010-02-14,23.5,4.5,18.0
2010-02-15,24.25,4.75,18.0
2010-02-16,25.0,5.0,18.0
2010-02-17,22.0,4.0,18.0
2010-02-18,22.0,4.0,18.0
2010-02-19,20.0,4.0,18.0
2010-02-20,20.0,4.0,18.0
2010-02-21,20.0,4.0,18.0
2010-02-22,20.0,4.0,18.0
2010-02-23,20.0,4.0,18.0
2010-02-24,18.0,4.0,18.0
2010-02-25,18.0,4.0,18.0
2010-02-26,16.0,4.0,18.0
2010-02-27,15.8,4.0,18.0
2010-02-28,15.6,4.0,18.0
2010-03-01,15.4,4.0,18.0
2010-03-02,15.2,4.0,18.0
2010-03-03,15.0,4.0,18.0
2010-03-04,15.0,4.0,17.0
2010-03-05,15.0,4.0,17.0
2010-03-06,14.25,4.0,17.25
2010-03-07,13.5,4.0,17.5
2010-03-08,12.75,4.0,17.75
2010-03-09,12.0,4.0,18.0
2010-03-10,12.0,4.0,18.0
2010-03-11,12.0,3.0,17.0
2010-03-12,12.0,3.0,17.0
2010-03-13,11.818181818181818,3.0,17.0
2010-03-14,11.636363636363635,3.0,17.0
2010-03-15,11.454545454545455,3.0,17.0
2010-03-16,11.272727272727273,3.0,17.0
2010-03-17,11.09090909090909,3.0,17.0
2010-03-18,10.90909090909091,3.0,17.0
2010-03-19,10.727272727272727,3.0,17.0
2010-03-20,10.545454545454543,3.0,17.0
2010-03-21,10.363636363636363,3.0,17.0
2010-03-22,10.181818181818182,3.0,17.0
2010-03-23,10.0,3.0,17.0
2010-03-24,10.0,3.0,17.333333333333332
2010-03-25,10.0,3.0,17.666666666666668
2010-03-26,10.0,3.0,18.0
2010-03-27,10.0,3.0,18.0
2010-03-28,10.0,3.0,18.0
2010-03-29,10.0,3.0,18.0
2010-03-30,10.0,3.0,18.0
2010-03-31,8.0,4.0,18.0
2010-04-01,8.0,4.0,18.0
2010-04-02,8.0,4.0,18.0
2010-04-03,8.0,4.0,18.0
2010-04-04,8.0,4.0,18.0
2010-04-05,8.0,4.0,18.0
2010-04-06,8.0,4.0,18.0
2010-04-07,10.0,4.0,17.0
2010-04-08,8.0,4.0,17.0
2010-04-09,8.0,4.0,17.0
2010-04-10,8.0,4.0,17.25
2010-04-11,8.0,4.0,17.5
2010-04-12,8.0,4.0,17.75
2010-04-13,8.0,4.0,18.0
2010-04-14,8.0,4.0,18.0
2010-04-15,8.0,4.0,18.0
2010-04-16,8.0,4.0,18.0
2010-04-17,8.0,4.0,18.0
2010-04-18,8.0,4.0,18.0
2010-04-19,8.0,4.0,18.0
2010-04-20,8.0,4.0,18.0
2010-04-21,8.0,4.0,18.0
2010-04-22,8.0,4.0,18.0
2010-04-23,8.0,4.0,18.0
2010-04-24,8.0,4.0,18.0
2010-04-25,8.0,4.0,18.0
2010-04-26,8.0,4.0,18.0
2010-04-27,8.0,4.0,18.0
2010-04-28,8.0,4.0,18.0
2010-04-29,8.0,4.0,18.0
2010-04-30,8.0,5.0,18.0
2010-05-01,8.333333333333334,5.166666666666667,18.0
2010-05-02,8.666666666666666,5.333333333333333,18.0
2010-05-03,9.0,5.5,18.0
2010-05-04,9.333333333333334,5.666666666666668,18.0
2010-05-05,9.666666666666666,5.833333333333332,18.0
2010-05-06,10.0,6.0,18.0
2010-05-07,10.0,7.0,18.0
2010-05-08,10.0,6.75,18.0
2010-05-09,10.0,6.5,18.0
2010-05-10,10.0,6.25,18.0
2010-05-11,10.0,6.0,18.0
2010-05-12,10.0,6.0,18.0
2010-05-13,10.0,6.0,18.0
2010-05-14,10.0,6.0,18.0
2010-05-15,10.0,6.0,18.0
2010-05-16,10.0,6.0,18.0
2010-05-17,10.0,6.0,18.0
2010-05-18,10.0,6.0,18.0
2010-05-19,10.0,6.0,18.0
2010-05-20,10.0,6.0,18.0
2010-05-21,10.0,6.0,18.0
2010-05-22,10.0,5.75,18.0
2010-05-23,10.0,5.5,18.0
2010-05-24,10.0,5.25,18.0
2010-05-25,10.0,5.0,18.0
2010-05-26,10.0,5.0,18.0
2010-05-27,10.166666666666666,5.166666666666667,18.0
2010-05-28,10.333333333333334,5.333333333333333,18.0
2010-05-29,10.5,5.5,18.0
2010-05-30,10.666666666666666,5.666666666666668,18.0
2010-05-31,10.833333333333336,5.833333333333332,18.0
2010-06-01,11.0,6.0,18.0
2010-06-02,11.0,6.0,18.0
2010-06-03,10.0,6.0,18.0
2010-06-04,10.0,6.0,18.0
2010-06-05,10.5,6.0,18.0
2010-06-06,11.0,6.0,18.0
2010-06-07,11.5,6.0,18.0
2010-06-08,12.0,6.0,18.0
2010-06-09,10.0,6.0,18.0
2010-06-10,10.0,6.0,18.0
2010-06-11,12.0,6.0,18.0
2010-06-12,12.0,6.0,18.0
2010-06-13,12.0,6.0,18.0
2010-06-14,12.0,6.0,18.0
2010-06-15,12.0,6.0,18.0
2010-06-16,12.0,6.0,18.0
2010-06-17,12.0,6.0,18.0
2010-06-18,12.0,6.0,18.0
2010-06-19,12.0,6.0,18.25
2010-06-20,12.0,6.0,18.5
2010-06-21,12.0,6.0,18.75
2010-06-22,12.0,6.0,19.0
2010-06-23,12.0,6.0,19.0
2010-06-24,12.0,6.0,19.0
2010-06-25,10.0,6.0,19.0
2010-06-26,10.0,6.0,19.0
2010-06-27,10.0,6.0,19.0
2010-06-28,10.0,6.0,19.0
2010-06-29,10.0,6.0,19.0
2010-06-30,11.0,6.0,19.0
2010-07-01,12.0,6.0,19.0
2010-07-02,12.0,6.0,19.0
2010-07-03,12.0,6.0,19.0
2010-07-04,12.0,6.0,19.0
2010-07-05,12.0,6.0,19.0
2010-07-06,12.0,6.0,19.0
2010-07-07,13.0,6.0,19.0
2010-07-08,13.0,6.0,19.0
2010-07-09,12.0,6.0,19.0
2010-07-10,12.25,6.0,19.25
2010-07-11,12.5,6.0,19.5
2010-07-12,12.75,6.0,19.75
2010-07-13,13.0,6.0,20.0
2010-07-14,13.0,6.0,20.0
2010-07-15,13.0,6.0,20.0
2010-07-16,13.0,6.0,20.0
2010-07-17,13.0,6.0,20.0
2010-07-18,13.0,6.0,20.0
2010-07-19,13.0,6.0,20.0
2010-07-20,13.0,6.0,20.0
2010-07-21,12.0,6.0,20.0
2010-07-22,12.0,6.0,20.0
2010-07-23,12.0,6.0,20.0
2010-07-24,12.25,6.0,20.0
2010-07-25,12.5,6.0,20.0
2010-07-26,12.75,6.0,20.0
2010-07-27,13.0,6.0,20.0
2010-07-28,13.0,6.0,20.0
2010-07-29,13.0,6.0,20.0
2010-07-30,13.0,6.0,20.0
2010-07-31,13.0,6.0,20.0
2010-08-01,13.0,6.0,20.0
2010-08-02,13.0,6.0,20.0
2010-08-03,13.0,6.0,20.0
2010-08-04,13.0,6.0,20.0
2010-08-05,13.0,6.0,20.0
2010-08-06,13.0,6.0,20.0
2010-08-07,13.25,6.0,20.0
2010-08-08,13.5,6.0,20.0
2010-08-09,13.75,6.0,20.0
2010-08-10,14.0,6.0,20.0
2010-08-11,14.0,6.0,20.0
2010-08-12,14.0,6.0,20.0
2010-08-13,15.0,6.0,20.0
2010-08-14,15.0,6.0,20.0
2010-08-15,15.0,6.0,20.0
2010-08-16,15.0,6.0,20.0
2010-08-17,15.0,6.0,20.0
2010-08-18,14.0,6.0,20.0
2010-08-19,15.0,6.0,20.0
2010-08-20,15.0,6.0,20.0
2010-08-21,15.0,6.0,20.0
2010-08-22,15.0,6.0,20.0
2010-08-23,15.0,6.0,20.0
2010-08-24,15.0,6.0,20.0
2010-08-25,14.0,6.0,20.0
2010-08-26,14.0,6.0,20.0
2010-08-27,14.0,6.0,20.0
2010-08-28,14.5,6.25,20.0
2010-08-29,15.0,6.5,20.0
2010-08-30,15.5,6.75,20.0
2010-08-31,16.0,7.0,20.0
2010-09-01,16.0,7.0,20.0
2010-09-02,15.833333333333336,7.0,20.0
2010-09-03,15.666666666666664,7.0,20.0
2010-09-04,15.5,7.0,20.0
2010-09-05,15.333333333333336,7.0,20.0
2010-09-06,15.166666666666664,7.0,20.0
2010-09-07,15.0,7.0,20.0
2010-09-08,15.0,7.0,20.0
2010-09-09,16.0,7.0,20.0
2010-09-10,16.0,7.0,20.0
2010-09-11,16.666666666666668,7.0,20.0
2010-09-12,17.333333333333332,7.0,20.0
2010-09-13,18.0,7.0,20.0
2010-09-14,18.666666666666668,7.0,20.0
2010-09-15,19.33333333333333,7.0,20.0
2010-09-16,20.0,7.0,20.0
2010-09-17,18.0,8.0,20.0
2010-09-18,19.5,8.0,20.5
2010-09-19,21.0,8.0,21.0
2010-09-20,22.5,8.0,21.5
2010-09-21,24.0,8.0,22.0
2010-09-22,22.0,8.0,22.0
2010-09-23,24.0,8.0,22.0
2010-09-24,24.0,8.0,22.0
2010-09-25,24.0,8.5,21.5
2010-09-26,24.0,9.0,21.0
2010-09-27,24.0,9.5,20.5
2010-09-28,24.0,10.0,20.0
2010-09-29,24.0,10.0,20.0
2010-09-30,24.0,10.0,20.0
2010-10-01,24.0,10.0,20.0
2010-10-02,24.0,9.75,20.0
2010-10-03,24.0,9.5,20.0
2010-10-04,24.0,9.25,20.0
2010-10-05,24.0,9.0,20.0
2010-10-06,24.0,9.0,20.0
2010-10-07,24.0,9.0,20.0
2010-10-08,24.0,9.0,20.0
2010-10-09,24.0,9.0,20.0
2010-10-10,24.0,9.0,20.0
2010-10-11,24.0,9.0,20.0
2010-10-12,24.0,9.0,20.0
2010-10-13,24.0,9.0,20.0
2010-10-14,24.0,9.0,20.166666666666668
2010-10-15,24.0,9.0,20.33333333333333
2010-10-16,24.0,9.0,20.5
2010-10-17,24.0,9.0,20.666666666666668
2010-10-18,24.0,9.0,20.83333333333333
2010-10-19,24.0,9.0,21.0
2010-10-20,24.0,9.0,20.0
2010-10-21,24.0,9.0,20.0
2010-10-22,24.0,9.0,20.0
2010-10-23,24.0,9.25,20.25
2010-10-24,24.0,9.5,20.5
2010-10-25,24.0,9.75,20.75
2010-10-26,24.0,10.0,21.0
2010-10-27,24.0,10.0,21.0
2010-10-28,24.0,9.0,20.0
2010-10-29,24.0,9.0,20.0
2010-10-30,24.0,9.0,20.0
2010-10-31,24.0,9.0,20.0
2010-11-01,24.0,9.0,20.0
2010-11-02,24.0,9.0,20.0
2010-11-03,22.0,9.0,20.0
2010-11-04,22.0,8.0,20.0
2010-11-05,22.0,8.0,20.0
2010-11-06,22.0,8.0,20.0
2010-11-07,22.0,8.0,20.0
2010-11-08,22.0,8.0,20.0
2010-11-09,22.0,8.0,20.0
2010-11-10,24.0,9.0,19.0
2010-11-11,24.0,9.0,19.0
2010-11-12,28.0,8.0,20.0
2010-11-13,29.75,8.25,20.0
2010-11-14,31.5,8.5,20.0
2010-11-15,33.25,8.75,20.0
2010-11-16,35.0,9.0,20.0
2010-11-17,35.333333333333336,9.0,20.0
2010-11-18,35.666666666666664,9.0,20.0
2010-11-19,36.0,9.0,20.0
2010-11-20,35.0,9.0,20.0
2010-11-21,34.0,9.0,20.0
2010-11-22,33.0,9.0,20.0
2010-11-23,32.0,9.0,20.0
2010-11-24,35.0,9.0,20.0
2010-11-25,34.0,9.0,20.0
2010-11-26,35.0,9.0,20.0
2010-11-27,34.75,9.0,20.0
2010-11-28,34.5,9.0,20.0
2010-11-29,34.25,9.0,20.0
2010-11-30,34.0,9.0,20.0
2010-12-01,34.0,9.0,20.0
2010-12-02,32.0,9.0,20.0
2010-12-03,32.0,9.0,20.0
2010-12-04,32.75,9.0,20.0
2010-12-05,33.5,9.0,20.0
2010-12-06,34.25,9.0,20.0
2010-12-07,35.0,9.0,20.0
2010-12-08,35.0,9.0,20.0
2010-12-09,35.0,9.0,20.0
2010-12-10,35.0,9.0,20.0
2010-12-11,35.75,9.0,20.0
2010-12-12,36.5,9.0,20.0
2010-12-13,37.25,9.0,20.0
2010-12-14,38.0,9.0,20.0
2010-12-15,36.0,9.0,20.0
2010-12-16,35.0,9.0,20.0
2010-12-17,37.0,9.0,20.0
2010-12-18,39.0,9.0,20.0
2010-12-19,41.0,9.0,20.0
2010-12-20,43.0,9.0,20.0
2010-12-21,45.0,9.0,20.0
2010-12-22,55.0,9.0,20.0
