mangalore,103684
patiala,57334
churu,1529
osmanabad,143
pandalam,3331
karaikudi,13881
ghaziabad,212334
chhibramau,244
ashta,368
samba,118
kattappana,159
perinthalmanna,2315
maksi,1069
amgaon,2168
chirgaon,133
bhavnagar,18377
shamli,498
bastar,1232
vadodara,458782
koraput,3200
bhadaur,2612
bazpur,327
shillong,40356
jagraon,498
rajnandgaon,1981
kotkapura,2977
navsari,13240
rourkela,12266
bodeli,96
sangli,7201
samana,67
bayad,81
suri,2380
jorhat,23275
trivandrum,333522
aurangabad,146621
sambhal,4052
jagdalpur,1434
hazaribagh,507
miryalaguda,59
shahdara,192
jalgaon,5773
athani,58
pakur,332
bijapur,11136
nabha,4204
boha,376
jajpur,1958
ratanpur,53
raiganj,5336
balrampur,1213
mandla,876
thirthahalli,32
madhugiri,39
bathinda,16169
khagaria,459
chhatarpur,345
bolangir,162
santrampur,668
jagtial,66
nagari,159
etawah,15421
thanjavur,10896
manglaur,83
bapatla,49
rohtak,24959
pehowa,381
dhanbad,51635
indri,661
kadi,135
durgapur,56385
mumbai,17356008
khammam,5271
ramgarh,1418
sidhi,1324
kalpetta,299
amritsar,134056
ziro,162
nadia,7906
manmad,329
banaganapalli,81
malegaon,3899
coimbatore,707395
hanumangarh,7931
karimganj,3516
jammu,324408
jalalabad,2308
allagadda,72
pattikonda,1050
talala,322
jaspur,222
allahabad,213792
khandwa,380
attingal,3171
batala,2932
mandya,9639
lalgudi,52
madhubani,2606
anjar,985
gadhinglaj,22
begusarai,7446
tiruchirapalli,566
gwalior,42461
aruppukottai,1647
amroha,3200
pandharpur,326
kathua,2903
dharwar,789
darjeeling,26280
jhalod,51
balaghat,274
contai,1794
giridih,130
thodupuzha,1452
visakhapatnam,44694
kangra,11227
shimoga,6946
narela,2700
kollam,62681
kovilpatti,986
ambikapur,1635
godda,2451
jhajjar,720
burdwan,24265
sironj,879
kotputli,270
zunheboto,122
dhenkanal,3534
shrirampur,4860
meerut,33814
sasaram,486
chengalpattu,1649
godhra,10155
udumalpet,1066
adilabad,107
pathalgaon,3197
rayagada,458
pipariya,673
gajsinghpur,83
abohar,2786
dispur,840
krishnagiri,141
vandiperiyar,154
nahan,1417
ankleshwar,12366
baraut,1638
raghogarh,163
solapur,9600
patti,159
una,5391
arjuni,93
kovur,270
pusad,81
sivasagar,1287
phagwara,6737
hoshiarpur,13677
songadh,139
aranthangi,169
dhoraji,1789
kolaghat,377
lonar,69
goalpara,5021
ateli,71
tonk,368
dabwali,2740
thoothukudi,1032
jharsuguda,1351
sihora,1065
kapurthala,6009
mapusa,9329
anta,84
roing,13
lakhimpur,8095
kottakkal,3531
chhapra,3686
kosamba,51
chelakkara,106
beed,4000
warangal,28297
sattenapalli,1610
velur,1200
durg,2424
jamnagar,63212
bengaluru,181772
jaisalmer,10770
khategaon,35
danapur,316
narkatiaganj,254
chandigarh,366921
palakkad,55076
junnar,117
nagapattinam,2238
barnala,3610
mohindergarh,1931
rajnagar,61
cherthala,2329
katihar,3780
pipli,112
niwai,1977
nandyal,1876
kota,206406
kodad,3200
kharupetia,242
maur,266
partur,84
banga,813
dharmapuri,2905
azamgarh,8669
faridkot,3232
thara,713
gondal,3077
nawanshahar,3343
sumerpur,199
kandukur,2060
kolhapur,25425
junagarh,196
auraiya,2731
villupuram,2544
fatehpur,7227
thirumangalam,56
bahadurgarh,780
ranebennur,1305
bhadrawati,225
rajahmundry,14684
tohana,844
bhiwani,7728
sirhind,903
gingee,103
panvel,1025
aizawl,6511
biaora,216
lalganj,672
kopargaon,55
kothapeta,182
varanasi,73234
muradnagar,1537
chotila,929
junagadh,16211
itanagar,4852
honnavar,59
damoh,5040
hinganghat,76
mydukur,683
howrah,94949
shivpuri,150
bilimora,941
tuni,43
nasik,39770
dhrol,74
adimali,1332
udgir,104
srinagar,280818
chittorgarh,3008
anantapur,17820
jagadhri,2962
ramnagar,599
bewar,62
shahkot,88
paramakudi,456
nagpur,538281
kanigiri,150
rewari,11588
morinda,699
memari,1779
akola,9139
mannargudi,298
virpur,1584
sompeta,1158
digras,199
ashoknagar,31
jeypore,109
kolar,3117
bharatpur,5925
mansa,2650
khambhat,218
chamba,1192
sambalpur,13217
sonepat,8590
chakulia,1047
ettumanoor,105
pondicherry,40023
manasa,45
panchkula,9937
sehore,6926
savarkundla,415
dholpur,359
raipur,54028
punganur,77
dhar,793
challakere,1265
thalasserry,922
lakhani,71
muzaffarnagar,21073
nandigama,3191
kalyan,47881
mantha,46
rajgarh,1983
dibrugarh,18050
mahur,110
delhi,12851691
yeola,816
mathura,31966
karnal,62414
sangamner,847
faizabad,20688
banda,1077
dinhata,270
kumbakonam,2964
bellary,15714
kohima,9369
dumka,3718
sullurpet,35
sunam,88
achalpur,129
morena,302
gulbarga,15685
srikakulam,3431
keonjhar,396
bhadravathi,2306
rudrapur,5409
hubli,57623
shegaon,124
kumbhraj,168
kanjirappally,86
gurgaon,394910
nagar,62228
kozhikode,11694
pali,9866
mahbubnagar,70
lohardaga,55
nasrullaganj,103
jahanabad,230
pala,905
aarah,108
amod,74
ratlam,4506
kalyanpur,606
narsipatnam,1189
palwal,4049
rahuri,234
dahod,15803
khargone,1021
samastipur,12062
narayanpur,41
shahpura,2318
lakhisarai,109
pen,92
dongargarh,1173
buldhana,346
thiruvarur,759
ramachandrapuram,185
haldaur,1229
mallanwala,71
jamtara,1826
barshi,347
jammikunta,11
nagaur,2696
seoni,540
gurdaspur,2521
sadiq,76
porbandar,9304
khariar,887
gangarampur,348
bangalore,7254242
dadri,7116
tumkur,17769
hapur,2718
karad,3452
piler,136
samrala,37
kakinada,13156
panna,392
cuttack,81027
shajapur,732
cuddalore,22595
srikalahasti,52
nanded,17695
dindigul,20681
puducherry,13815
tirunelveli,23489
gorakhpur,61970
rajula,14
beawar,1209
neemuch,1067
bhagalpur,14664
patan,4669
gadag,4209
latur,16174
tadipatri,50
shekhpura,77
jind,4903
sedam,337
aroor,108
narasaraopet,572
patna,432099
nadiad,28212
gudur,64
indapur,227
goraya,4847
kendrapara,1617
tosham,292
malerkotla,1114
rajkot,262654
solan,5136
khamgaon,57
bundi,442
kalpi,64
sagar,5135
udupi,9898
coochbehar,242
tadepalligudem,1713
tenali,842
sultanpur,3839
charkhari,131
petlad,73
babain,307
manjeri,10025
pattambi,772
dhuri,1826
panipat,10683
bankura,21028
kothagudem,119
birbhum,1639
chavakkad,190
palanpur,5205
najafgarh,1852
indore,219020
nellore,11179
surajpur,75
belda,134
wadakkanchery,72
hindupur,2363
nokha,368
bargarh,3618
fazilka,1122
barara,577
thiruvananthapuram,40086
virudhunagar,4400
salem,181796
koderma,921
sriganganagar,4054
mirzapur,7076
rajpura,2932
yellapur,60
jhansi,3979
malda,17991
ernakulam,66981
modasa,130
tharad,259
khunti,77
betul,6372
sohna,2586
valia,1235
dungarpur,3045
pundri,115
dimapur,5951
mandsaur,222
roorkee,16682
kavali,284
gangtok,13214
jodhpur,268227
sitamarhi,1196
hajipur,2504
satna,1804
kharar,292
dhamtari,1889
nuzvid,1614
rampur,2964
mhow,1175
kurnool,69241
koppal,1094
ulhasnagar,6068
khaga,254
chengannur,912
ichhawar,56
gonda,2951
hardoi,4965
kulgam,2801
rewa,7197
jasdan,168
orai,3313
aluva,3291
kurara,109
malpur,173
