City,Latitude,Longitude
Faridabad,28.416668,77.300003
Firozpur,30.916668,74.599998
Gajraula,28.833332,78.23333
Garhi Harsaru,28.450001,76.933334
Gauriphanta,28.666668,80.550003
Ghaziabad,28.666668,77.416664
Gorakhpur,26.75,83.366669
Guna,24.65,77.316666
Gurdaspur,32.033333,75.400002
Gurgaon,28.466667,77.01667
Gwalior,26.216667,78.166664
Hisar,29.133333,75.716667
Indore,22.716667,75.849998
Jabalpur,23.15,79.933334
Jagdalpur,19.066668,82.01667
Jaipur,26.916668,75.816666
Jaisalmer,26.916668,70.900002
Jalandhar,31.316668,75.566666
Jammu,32.716667,74.849998
Jarwa,27.65,82.51667
Jaunpur,25.716667,82.666664
Jhansi,25.433332,78.566666
Jhulaghat,29.566668,80.366669
Jodhpur,26.266666,73.01667
Kanpur,26.450001,80.333336
Karnal,29.683332,76.966667
Kashipur,29.183332,78.98333
Khajuraho Group of Monuments,24.85,79.916664
Khunwa,27.450001,82.98333
Kota,25.166668,75.816666
Kullu,31.950001,77.099998
Lalru,30.483334,76.800003
Leh,34.133331,77.566666
Lucknow,26.833332,80.933334
Ludhiana,30.9,75.849998
Malanpur,26.35,78.283333
Mandideep,23.083332,77.51667
Mathura,27.483334,77.666664
Meerut,28.983334,77.699997
Moradabad,28.816668,78.76667
Muzaffarnagar,29.466667,77.699997
Delhi,28.616667,77.216667
Nilokheri,29.816668,76.916664
Panipat,29.383333,76.966667
Pantnagar,28.966667,79.400002
Pathankot,32.266666,75.633331
Patiala,30.333332,76.366669
Patparganj,28.733334,77.26667
Pithampur,22.6,75.666664
Raebareli,26.233334,81.216667
Raipur,21.25,81.616669
Raisen,23.316668,77.800003
Rajauri,33.366669,74.300003
Rania,29.516666,74.816666
Ratlam,23.316668,75.033333
Rewa,24.516666,81.300003
Rewari,28.183332,76.616669
Rohtak,28.883333,76.583336
Rudrapur,28.966667,79.400002
Saharanpur,29.950001,77.533333
Sahnewal,30.833332,75.966667
Sangrur,30.233334,75.833336
Satna,24.15,80.816666
Shimla,31.1,77.166664
Sikar,27.616667,75.150002
Solan,30.916668,77.116669
Sonipat,28.966667,77.01667
Srinagar,34.083332,74.783333
Udaipur,24.566668,73.666664
Una,31.483334,76.26667
Varanasi,25.266666,82.949997
Agatti Island,10.833333,72.199997
Alangulam,8.85,77.48333
Alappuzha,9.483333,76.333336
Ambaturai,10.25,77.933334
Amini,11.116667,72.716667
Anaparti,16.933332,81.949997
Andrott,10.8,73.666664
Arakkonam,13.1,79.666664
Aroor,9.866667,76.300003
Azhikkal,11.933333,75.300003
Baindur,13.85,74.633331
Bangalore,12.966667,77.583336
Bangarapet,12.966667,78.199997
Belekeri,14.7,74.26667
Belgaum,15.85,74.5
Bellary,15.133333,76.916664
Beypore,11.166667,75.800003
Bhatkal,13.966667,74.566666
Bheemunipatnam,17.883333,83.433334
Bhimavaram,16.533333,81.533333
Bidar,17.9,77.51667
Bijapur,16.816668,75.699997
Bingaram Island,10.933333,72.283333
Bitra,11.533333,72.133331
Car Nicobar,9.15,92.75
Chengalpattu,12.7,79.966667
Chennai,13.083333,80.26667
Cherthala,9.683333,76.333336
Chetlat Island,11.683333,72.699997
Chidambaram,11.383333,79.683334
Chirala,15.816667,80.349998
Chittoor,13.2,79.099998
Cholapuram,9.366667,77.566666
Coimbatore,11.016667,76.966667
Coonoor,11.35,76.816666
Cuddalore,11.75,79.75
Dhanushkodi,9.166667,79.400002
Dharwad,15.35,75.083336
Ennore,13.216667,80.316666
Ernakulam,9.966667,76.26667
Erode,11.333333,77.716667
Gudur,14.133333,79.833336
Guntur,16.299999,80.433334
Hassan,13.05,76.099998
Honnavar,14.266667,74.449997
Hubli,15.35,75.116669
Hyderabad,17.35,78.466667
Indira Point,6.75,93.816666
Kadapa,14.466667,78.916664
Kadmat Island,11.216667,72.76667
Kakinada,16.933332,82.23333
Kalingapatnam,18.333332,84.116669
Kalpeni,10.083333,73.633331
Kanchipuram,12.833333,79.699997
Kannur,11.866667,75.349998
Kanyakumari,8.066667,77.533333
Karaikal,10.916667,79.816666
Karimnagar,18.433332,79.116669
Karur,10.95,78.066666
Karwar,14.8,74.116669
Kasaragod,12.5,75
Kavaratti,10.566667,72.616669
Kilakarai,9.216667,78.783333
Kiltan,11.483333,73
Kochi,9.916667,76.26667
Kolachal,8.166667,77.25
Kolar,13.133333,78.133331
Kollam,8.866667,76.599998
Kothagudem,17.549999,80.616669
Kovalam,8.4,76.966667
Kozhikode,11.25,75.76667
Krishnapatnam,14.266667,80.116669
Kulasekarapuram,8.366667,77.300003
Kundapur,13.616667,74.683334
Machilipatnam,16.183332,81.133331
Madurai,9.916667,78.116669
Mahé,11.683333,75.533333
Malappuram,11.033333,76.066666
Malpe,13.35,74.699997
Mandapam,9.266667,79.116669
Mangalore,12.9,74.849998
Mulgund,15.266667,75.51667
Mysore,12.283333,76.633331
Nagapattinam,10.766667,79.816666
Nagercoil,8.166667,77.416664
Nampong,27.266666,96.116669
Nancowry,7.983333,93.533333
Neendakara,8.933333,76.533333
Nellore,14.433333,79.98333
Neyveli,11.516667,79.48333
Ongole,15.5,80.050003
Padi,13.1,80.183334
Padubidri,13.066667,74.800003
Palakkad,10.783333,76.650002
Pamban,9.266667,79.216667
Perundurai,11.266667,77.566666
Pondicherry,11.916667,79.816666
Ponnani,10.766667,75.916664
Port Blair,11.616667,92.716667
Pulicat,13.416667,80.316666
Puttaparthi,14.15,77.800003
Raichur,16.200001,77.349998
Rajahmundry,16.983334,81.76667
Ramagundam,18.75,79.449997
Rameswaram,9.283333,79.300003
Salem,11.65,78.150002
Secunderabad,17.450001,78.5
Sholinghur,13.116667,79.416664
Sriperumbudur,12.966667,79.949997
Taliparamba,12.033333,75.349998
Tenkasi,8.95,77.300003
Thalassery,11.75,75.48333
Thanjavur,10.766667,79.116669
Tharangambadi,11.016667,79.833336
Theni Allinagaram,10,77.466667
Thirukkadaiyur,11.066667,79.800003
Thiruvananthapuram,8.483333,76.949997
Thiruvannaamalai,12.216667,79.066666
Thoothukudi,8.8,78.133331
Thoppumpady,9.916667,76.25
Thudiyalur,11.066667,76.916664
Tiruchirappalli,10.8,78.683334
Tirunelveli,8.716667,77.699997
Tirupati,3.633333,1079.31665
Tirupur,11.1,77.333336
Tiruvallur,13.15,79.900002
Tumkur,13.333333,77.099998
Vatakara,11.566667,75.599998
Vellore,12.916667,79.133331
Vijayawada,16.5,80.633331
Visakhapatnam,17.683332,83.216667
Yanam,16.733334,82.25
Ziro,27.549999,93.816666
Cuttack,20.463611,85.865
Padra,22.23,73.08
Kottayam,9.58,76.52
Jamtara,23.949722,86.799722
Trivandrum,8.4875,76.9525
Howrah,22.59,88.31
Mandi,31.7069,76.9317
Ballia,25.7611,84.1483
Bhadrawati,20.1097,79.12
